record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-C6-0251	cruise liner	大型邮轮；巡游客轮	指为休闲旅行设计、提供住宿和娱乐设施的大型客船。	The cruise liner remained outside the port during the storm.	暴风雨期间，这艘大型邮轮停留在港口外。	original_project_authored	draft_auto_validated	false
PH-C6-0252	diesel fuel	柴油	指供柴油发动机使用、通常由石油炼制而成的液体燃料。	The company is testing an alternative to conventional diesel fuel.	这家公司正在测试传统柴油的替代品。	original_project_authored	draft_auto_validated	false
PH-C6-0253	elevator shaft	电梯井	指建筑物中供电梯轿厢上下运行的垂直空间。	Smoke entered the upper floors through the elevator shaft.	烟雾通过电梯井进入了较高楼层。	original_project_authored	draft_auto_validated	false
PH-C6-0254	fiber optic	光纤的；光导纤维相关的	作复合形容词时常写作 fiber-optic，美式拼写为 fiber，英式拼写为 fibre。	The hospital installed a fiber optic network for faster data transfer.	医院安装了光纤网络，以提高数据传输速度。	original_project_authored	draft_auto_validated	false
PH-C6-0255	herbal medicine	草药；草药医学	可指以植物为主要来源的药物，也可指使用草药的医疗传统；其安全性和效果因产品而异。	Patients should tell their doctors about any herbal medicine they use.	患者应该把自己使用的任何草药告知医生。	original_project_authored	draft_auto_validated	false
PH-C6-0256	infant mortality	婴儿死亡率；婴儿死亡现象	在人口统计中通常指未满一岁的婴儿死亡情况，常与 rate 连用。	Clean water and basic health services can reduce infant mortality.	清洁用水和基本医疗服务能够降低婴儿死亡率。	original_project_authored	draft_auto_validated	false
PH-C6-0257	intuitive feeling	直觉感受	指没有经过有意识的逐步推理而产生的感觉或判断。	An intuitive feeling may guide inquiry, but it cannot replace evidence.	直觉感受可以引导研究，但不能取代证据。	original_project_authored	draft_auto_validated	false
PH-C6-0258	judicial system	司法体系	指法院、法官及处理法律争议和审判案件的制度整体。	An independent judicial system is essential to fair trials.	独立的司法体系对公平审判至关重要。	original_project_authored	draft_auto_validated	false
PH-C6-0259	land tenure	土地保有制度；土地权属	指个人或群体依法拥有、占有或使用土地的规则和安排。	Secure land tenure can encourage farmers to invest in long-term improvements.	稳定的土地权属能够鼓励农民进行长期改良投资。	original_project_authored	draft_auto_validated	false
PH-C6-0260	maritime law	海事法	指规范航运、海上贸易、船舶和相关海事活动的法律领域。	The dispute will be settled according to international maritime law.	这场争议将依据国际海事法解决。	original_project_authored	draft_auto_validated	false
PH-C6-0261	mass hysteria	群体性恐慌；集体歇斯底里	指恐惧、错误信念或强烈反应在群体中迅速传播的现象。	False reports can trigger mass hysteria during an emergency.	虚假报道可能在紧急情况下引发群体性恐慌。	original_project_authored	draft_auto_validated	false
PH-C6-0262	mortality rate	死亡率	指特定人群在一定时期内死亡人数所占的比例。	The study compares the mortality rate across different age groups.	这项研究比较不同年龄组的死亡率。	original_project_authored	draft_auto_validated	false
PH-C6-0263	music genre	音乐流派；音乐类型	指依据风格、形式、传统或文化背景划分的音乐类别。	The platform allows listeners to search by music genre.	这个平台允许听众按音乐类型搜索。	original_project_authored	draft_auto_validated	false
PH-C6-0264	optical instrument	光学仪器	指利用透镜、反射镜或其他光学元件观察、测量或成像的设备。	The telescope is an optical instrument designed to collect faint light.	望远镜是一种用于收集微弱光线的光学仪器。	original_project_authored	draft_auto_validated	false
PH-C6-0265	panoramic view	全景；宽阔景观	指从某处能够看到的广阔、连续景色。	The hilltop offers a panoramic view of the entire valley.	山顶可以俯瞰整个山谷的全景。	original_project_authored	draft_auto_validated	false
PH-C6-0266	power grid	电力网；电网	指发电设施、输电线路和配电系统相互连接形成的网络。	Extreme heat placed heavy demand on the regional power grid.	极端高温给区域电网带来巨大需求压力。	original_project_authored	draft_auto_validated	false
PH-C6-0267	radioactive waste	放射性废物	指含有放射性物质、需要专门管理和处置的废弃材料。	Radioactive waste must be stored under carefully controlled conditions.	放射性废物必须在严格控制的条件下储存。	original_project_authored	draft_auto_validated	false
PH-C6-0268	soil erosion	土壤侵蚀	指土壤表层被水、风或人类活动带走和破坏的过程。	Planting trees can reduce soil erosion on steep slopes.	植树能够减少陡坡上的土壤侵蚀。	original_project_authored	draft_auto_validated	false
PH-C6-0269	tax deductible	可抵税的	现代英语中作形容词通常写作 tax-deductible，指费用可按适用税法从应税所得等项目中扣除。	Some business expenses may be tax deductible under local rules.	根据当地规定，一些经营费用可能可以抵税。	original_project_authored	draft_auto_validated	false
PH-C6-0270	tax deduction	税收扣除；抵税额	指按照适用税法从应税收入或税额中扣除的金额或项目。	The guide explains how to claim a tax deduction for approved donations.	这份指南说明如何为符合条件的捐赠申请税收扣除。	original_project_authored	draft_auto_validated	false
PH-C6-0271	western hemisphere	西半球	通常写作 the Western Hemisphere，指本初子午线以西、180 度经线以东的半个地球。	The storm became one of the strongest recorded in the western hemisphere.	这场风暴成为西半球有记录以来最强的风暴之一。	original_project_authored	draft_auto_validated	false
PH-C6-0272	crude oil	原油	指从地下开采、尚未经过炼制的液态石油。	The refinery converts crude oil into fuels and other products.	炼油厂把原油转化为燃料和其他产品。	original_project_authored	draft_auto_validated	false
PH-C6-0273	insurance premium	保险费	指投保人为获得保险保障而定期或一次性支付给保险人的费用。	The annual insurance premium depends on the level of coverage.	年度保险费取决于保障范围。	original_project_authored	draft_auto_validated	false
