record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-C4-0151	federal government	联邦政府	指联邦制国家中负责全国性事务的中央层级政府。	The federal government announced funding for the national rail network.	联邦政府宣布为全国铁路网提供资金。	original_project_authored	draft_auto_validated	false
PH-C4-0152	law enforcement	执法；执法机构	可指执行法律的活动，也可泛指警察等负责执法的机构和人员。	Effective law enforcement must respect legal rights.	有效执法必须尊重法定权利。	original_project_authored	draft_auto_validated	false
PH-C4-0153	self respect	自尊	现代英语中通常写作 self-respect，指对自身价值和尊严的重视。	Honest work can strengthen a person's self respect.	诚实劳动能够增强一个人的自尊。	original_project_authored	draft_auto_validated	false
PH-C4-0154	self awareness	自我认知；自我意识	现代英语中通常写作 self-awareness，指认识自身情绪、行为和特点的能力。	Keeping a journal may improve self awareness.	记日记可能有助于提高自我认知。	original_project_authored	draft_auto_validated	false
PH-C4-0155	self confidence	自信	现代英语中通常写作 self-confidence，指对自身能力和判断的信心。	Regular practice helped her build self confidence.	经常练习帮助她建立了自信。	original_project_authored	draft_auto_validated	false
PH-C4-0156	self control	自制力	现代英语中通常写作 self-control，指管理冲动、情绪和行为的能力。	Remaining calm during an argument requires self control.	争论时保持冷静需要自制力。	original_project_authored	draft_auto_validated	false
PH-C4-0157	self discipline	自律	现代英语中通常写作 self-discipline，指无需外部监督也能坚持规则和目标的能力。	Online study demands strong self discipline.	在线学习需要很强的自律能力。	original_project_authored	draft_auto_validated	false
PH-C4-0158	self discovery	自我发现；认识自我的过程	现代英语中通常写作 self-discovery，指逐渐了解自身特点、价值和目标的过程。	Travel became a journey of self discovery for the young artist.	旅行成了这位年轻艺术家的自我发现之旅。	original_project_authored	draft_auto_validated	false
PH-C4-0159	self worth	自我价值感	现代英语中通常写作 self-worth，指个人对自身价值的基本认识和感受。	A test score should not determine a student's self worth.	考试成绩不应决定学生的自我价值感。	original_project_authored	draft_auto_validated	false
PH-C4-0160	mass media	大众媒体	指电视、广播、报刊和大型网络平台等面向广泛公众传播信息的媒介。	The mass media can strongly influence public opinion.	大众媒体能够强烈影响公众舆论。	original_project_authored	draft_auto_validated	false
PH-C4-0161	news media	新闻媒体	指采集、编辑和传播新闻的机构、平台及从业者。	The news media reported conflicting accounts of the event.	新闻媒体对这一事件作出了相互矛盾的报道。	original_project_authored	draft_auto_validated	false
PH-C4-0162	stream of consciousness	意识流；连续思绪	可指头脑中不断流动的想法，也指模仿这种思维过程的文学叙事手法。	The novel uses stream of consciousness to reveal the narrator's thoughts.	这部小说用意识流手法展现叙述者的思想。	original_project_authored	draft_auto_validated	false
PH-C4-0163	big bang	大爆炸；突发巨响	指宇宙起源理论时通常大写为 the Big Bang，也可按字面指巨大声响。	The big bang model explains how the universe expanded from an early hot state.	大爆炸模型解释了宇宙如何从早期高温状态开始膨胀。	original_project_authored	draft_auto_validated	false
PH-C4-0164	general assembly	全体大会；全体会议	泛指组织成员参加的全体会议；用于特定机构正式名称时通常首字母大写。	The association will elect new officers at its general assembly.	该协会将在全体大会上选举新的负责人。	original_project_authored	draft_auto_validated	false
PH-C4-0165	immune response	免疫反应	指免疫系统识别并应对病原体、异常细胞或其他物质的过程。	The vaccine prepares the body to produce an immune response.	疫苗使身体做好产生免疫反应的准备。	original_project_authored	draft_auto_validated	false
PH-C4-0166	classical music	古典音乐	通常指西方艺术音乐传统中的作品，也可泛指某种文化中具有经典地位的音乐。	Listening to classical music helped him focus while studying.	学习时听古典音乐有助于他集中注意力。	original_project_authored	draft_auto_validated	false
PH-C4-0167	cost effective	划算的；成本效益高的	现代英语中作复合形容词通常写作 cost-effective，表示以合理成本取得良好效果。	The simpler design proved cost effective over the long term.	从长期看，这种更简单的设计被证明具有成本效益。	original_project_authored	draft_auto_validated	false
PH-C4-0168	low tech	低技术的；技术简单的	作复合形容词时通常写作 low-tech，指使用简单或传统技术。	The farmers found a low tech solution that was easy to repair.	农民们找到了一种容易维修的低技术解决方案。	original_project_authored	draft_auto_validated	false
PH-C4-0169	natural selection	自然选择	指更适应环境的遗传特征在世代繁衍中更容易保留下来的演化过程。	Natural selection can change a population over many generations.	自然选择能够在许多代之后改变一个种群。	original_project_authored	draft_auto_validated	false
PH-C4-0170	mother tongue	母语	指一个人在幼年首先自然习得的语言。	Children can learn a second language without losing their mother tongue.	儿童可以在不失去母语的情况下学习第二语言。	original_project_authored	draft_auto_validated	false
PH-C4-0171	stock exchange	证券交易所	指证券按照规则集中交易的组织化市场或机构。	The company's shares began trading on the stock exchange in May.	这家公司的股票五月开始在证券交易所交易。	original_project_authored	draft_auto_validated	false
PH-C4-0172	body mass index	身体质量指数	常缩写为 BMI，是用体重和身高计算的筛查指标，不能单独替代医学诊断。	Body mass index is only one measure used to assess health risk.	身体质量指数只是评估健康风险所使用的一项指标。	original_project_authored	draft_auto_validated	false
PH-C4-0173	code of conduct	行为准则	指组织为成员规定的职业、道德或行为标准。	Every volunteer must read and follow the code of conduct.	每名志愿者都必须阅读并遵守行为准则。	original_project_authored	draft_auto_validated	false
PH-C4-0174	population growth	人口增长	指某地区人口数量在一段时间内增加。	Rapid population growth can place pressure on housing and water supplies.	人口快速增长会给住房和供水带来压力。	original_project_authored	draft_auto_validated	false
PH-C4-0175	language learning	语言学习	指通过学习和使用获得语言知识与交际能力的过程。	Frequent exposure is important in language learning.	经常接触语言材料对语言学习很重要。	original_project_authored	draft_auto_validated	false
PH-C4-0176	life expectancy	预期寿命	指根据特定人群死亡率估算的平均可生存年数。	Improved sanitation contributed to higher life expectancy.	卫生条件改善促成了预期寿命的提高。	original_project_authored	draft_auto_validated	false
PH-C4-0177	light bulb	灯泡	指通电后产生光的可更换照明元件。	Replacing an old light bulb with an efficient one can save electricity.	用节能灯泡替换旧灯泡可以节省电力。	original_project_authored	draft_auto_validated	false
PH-C4-0178	lightning rod	避雷针；招致攻击的人或事物	可指引导雷电安全入地的金属装置，也可比喻集中承受批评的对象。	A lightning rod protects the building by directing electrical charge to the ground.	避雷针通过把电荷引向地面来保护建筑物。	original_project_authored	draft_auto_validated	false
PH-C4-0179	stock market	股票市场	指股票发行、买卖及相关活动形成的市场。	Uncertain earnings caused prices across the stock market to fall.	不确定的收益导致整个股票市场价格下跌。	original_project_authored	draft_auto_validated	false
PH-C4-0180	urban renewal	城市更新	指改善或重建城市老旧地区的规划和实施过程。	The urban renewal plan includes affordable housing and public parks.	城市更新计划包括保障性住房和公共公园。	original_project_authored	draft_auto_validated	false
PH-C4-0181	stage fright	怯场；舞台恐惧	指在公开表演或讲话前后产生的强烈紧张感。	Slow breathing helped the singer manage her stage fright.	缓慢呼吸帮助这名歌手控制怯场情绪。	original_project_authored	draft_auto_validated	false
