record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-C4-0101	bump up	提高；增加	非正式用语，表示使价格、数量或级别上升。	A shortage of parts may bump up production costs.	零部件短缺可能会提高生产成本。	original_project_authored	draft_auto_validated	false
PH-C4-0102	burst forth	突然迸发；喷涌而出	较书面地表示声音、光线、液体或情感突然强烈出现。	Laughter began to burst forth from the crowded room.	笑声开始从拥挤的房间里迸发出来。	original_project_authored	draft_auto_validated	false
PH-C4-0103	cart away	用车运走	表示把沉重、大量或不需要的物品装车移走。	Workers arrived to cart away the broken furniture.	工人们前来运走损坏的家具。	original_project_authored	draft_auto_validated	false
PH-C4-0104	call forth	引起；激发	较正式地表示使某种反应、情感、能力或努力显现出来。	A crisis can call forth unexpected courage in ordinary people.	危机能够激发普通人意想不到的勇气。	original_project_authored	draft_auto_validated	false
PH-C4-0105	hold forth	滔滔不绝地讲话	常与 on 或 about 连用，指长时间自信地谈论某个主题，有时含轻微批评。	He began to hold forth on the future of artificial intelligence.	他开始滔滔不绝地谈论人工智能的未来。	original_project_authored	draft_auto_validated	false
PH-C4-0106	pitch into	积极投入；猛烈批评或攻击	非正式用语，可表示热情开始工作，也可指严厉攻击某人或观点。	Volunteers were ready to pitch into the cleanup after the storm.	志愿者们准备积极投入暴风雨后的清理工作。	original_project_authored	draft_auto_validated	false
PH-C4-0107	rub down	擦干；按摩；打磨	可表示用毛巾擦干身体、按摩肌肉，或摩擦物体表面使其平滑。	Athletes often rub down tired muscles after intense exercise.	运动员剧烈运动后常常按摩疲劳的肌肉。	original_project_authored	draft_auto_validated	false
PH-C4-0108	rub out	擦掉；消除	可表示用摩擦方式去除铅笔字或痕迹；某些非正式语境也可指杀害。	Use a soft eraser to rub out the pencil marks.	用柔软的橡皮擦掉铅笔痕迹。	original_project_authored	draft_auto_validated	false
PH-C4-0109	smash up	严重撞坏；砸毁	非正式用语，表示通过撞击把车辆或物品严重损坏。	The falling branch could smash up any car parked below.	掉落的树枝可能会砸坏停在下面的任何汽车。	original_project_authored	draft_auto_validated	false
PH-C4-0110	stand pat	坚持原有立场；拒绝改变	主要用于美式英语，表示在出现压力或新情况时仍维持原决定。	The board chose to stand pat and make no further changes.	董事会选择维持原决定，不再作进一步改变。	original_project_authored	draft_auto_validated	false
PH-C4-0111	tick off	打勾；列出；惹恼	可表示逐项标记或列举；非正式语境也可表示使人生气。	Please tick off each item after you inspect it.	检查完每一项后请打勾。	original_project_authored	draft_auto_validated	false
PH-C4-0112	break through	突破；冲破	可表示穿过障碍，也可指克服限制或取得重大进展。	Researchers hope to break through the technical barrier this year.	研究人员希望今年突破这项技术障碍。	original_project_authored	draft_auto_validated	false
PH-C4-0113	bring up	提出；抚养；呕吐	可表示提出话题、养育孩子，也可描述身体把食物吐出。	She plans to bring up the funding issue at the next meeting.	她计划在下次会议上提出资金问题。	original_project_authored	draft_auto_validated	false
PH-C4-0114	come about	发生；产生	常用于询问或解释某种情况、变化是怎样发生的。	How did such a major change come about so quickly?	如此重大的变化是怎样迅速发生的？	original_project_authored	draft_auto_validated	false
PH-C4-0115	come off	脱落；成功；给人某种印象	可表示从表面脱离、计划取得成功，也可与 as 连用说明给人的感觉。	The label should come off easily in warm water.	这个标签在温水里应该很容易脱落。	original_project_authored	draft_auto_validated	false
PH-C4-0116	cut in	插话；插队；切入	可表示打断谈话、车辆突然并线，也可指机器自动开始运转。	It is impolite to cut in while someone else is speaking.	别人说话时插嘴是不礼貌的。	original_project_authored	draft_auto_validated	false
PH-C4-0117	drop out	退出；辍学	常与 of 连用，表示在完成前退出课程、比赛或某项活动。	Financial pressure may force some students to drop out of college.	经济压力可能迫使一些学生大学辍学。	original_project_authored	draft_auto_validated	false
PH-C4-0118	fall behind	落后；拖欠	可表示进度或成绩落后于他人，也可指付款没有按时完成。	Students who miss several classes may fall behind quickly.	缺几次课的学生可能很快落后。	original_project_authored	draft_auto_validated	false
PH-C4-0119	get across	使被理解；穿过	可表示成功传达观点，也可表示从一边到另一边。	A simple diagram can help get across a complex idea.	一张简单的图可以帮助讲清复杂的概念。	original_project_authored	draft_auto_validated	false
PH-C4-0120	get around	四处走动；避开；传播	可表示移动、规避规则，也可指消息广泛传播。	There is no safe way to get around the regulation.	没有安全的办法规避这项规定。	original_project_authored	draft_auto_validated	false
PH-C4-0121	get by	勉强应付；通过	常与 on 连用说明靠有限资源生活，也可指勉强达到要求。	With careful budgeting, the family can get by on one income.	通过谨慎安排开支，这个家庭可以靠一份收入维持生活。	original_project_authored	draft_auto_validated	false
PH-C4-0122	get down to	开始认真处理	to 是介词，后接名词或动名词，表示停止耽搁并着手做重要事情。	After a short introduction, we can get down to discussing the main issue.	简短介绍之后，我们可以开始认真讨论主要问题。	original_project_authored	draft_auto_validated	false
PH-C4-0123	give away	赠送；泄露；暴露	可表示免费送出物品，也可指无意中透露秘密或暴露真实情况。	His expression may give away how nervous he feels.	他的表情可能会暴露他有多紧张。	original_project_authored	draft_auto_validated	false
PH-C4-0124	give in	让步；屈服；交上	常与 to 连用表示向压力或要求屈服，也可指提交文件。	The negotiators refused to give in to unreasonable demands.	谈判人员拒绝向不合理的要求让步。	original_project_authored	draft_auto_validated	false
PH-C4-0125	go against	违背；反对；不利于	后接规则、原则、意愿或利益，表示与其冲突。	The decision may go against the advice of medical experts.	这一决定可能违背医学专家的建议。	original_project_authored	draft_auto_validated	false
PH-C4-0126	go without	没有某物也能应付	后接缺少的必需品或通常拥有的事物。	During the water shortage, some villages had to go without regular supplies.	缺水期间，一些村庄不得不在没有常规供水的情况下生活。	original_project_authored	draft_auto_validated	false
PH-C4-0127	hand over	交出；移交	表示把物品、权力或责任正式交给另一个人或组织。	The outgoing manager will hand over responsibility at the end of the month.	即将离任的经理将在月底移交职责。	original_project_authored	draft_auto_validated	false
PH-C4-0128	hold down	压住；控制；保住工作	可表示使某物保持在低处、限制增长，或长期保有一份工作。	New measures may help hold down the cost of basic services.	新措施可能有助于控制基本服务的成本。	original_project_authored	draft_auto_validated	false
PH-C4-0129	leave behind	留下；忘带；超过	可表示离开时遗留人或物，也可指在发展或竞争中把别人甩在后面。	Rapid technological change can leave behind workers without new skills.	技术的快速变化可能会让没有新技能的劳动者掉队。	original_project_authored	draft_auto_validated	false
