record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-H-0051	drag on	拖延；持续过久	表示令人厌烦或不必要地持续很长时间。	The meeting began to drag on without reaching a decision.	会议拖了很久，却没有作出决定。	original_project_authored	draft_auto_validated	false
PH-H-0052	roll up	卷起；到达	可表示把柔软物卷起来；非正式语境也可表示到达某地。	Please roll up the map carefully after using it.	地图用完后请小心卷起来。	original_project_authored	draft_auto_validated	false
PH-H-0053	roll over	翻身；翻转	表示人或物转到另一面，也可指车辆翻覆。	The patient was asked to roll over onto his left side.	病人被要求翻身朝左侧躺。	original_project_authored	draft_auto_validated	false
PH-H-0054	sink in	逐渐被理解；渗入	可表示某个事实慢慢被充分理解，也可表示液体渗入。	It took several minutes for the surprising news to sink in.	大家过了几分钟才逐渐理解这个惊人的消息。	original_project_authored	draft_auto_validated	false
PH-H-0055	split up	分开；分手；拆分	可表示人群分组、关系结束或整体被分成部分。	We will split up into teams of four for the activity.	这项活动中我们将分成四人小组。	original_project_authored	draft_auto_validated	false
PH-H-0056	tear down	拆除；撕下	可表示拆毁建筑物，也可表示把张贴物撕下来。	The city plans to tear down the unsafe bridge.	这座城市计划拆除那座不安全的桥。	original_project_authored	draft_auto_validated	false
PH-H-0057	burst out	突然开始；突然闯出	常与 laughing、crying 等动名词连用，表示情绪突然爆发。	The final joke made the audience burst out laughing.	最后一个笑话让观众突然大笑起来。	original_project_authored	draft_auto_validated	false
PH-H-0058	cast aside	抛弃；不再考虑	表示把某物丢开，或不再接受某个想法、原则或顾虑。	We should not cast aside useful traditions without careful thought.	我们不应未经慎重考虑就抛弃有益的传统。	original_project_authored	draft_auto_validated	false
PH-H-0059	cast off	摆脱；解开缆绳	可表示抛开限制或旧习，也可指船只解缆离岸。	The young writer tried to cast off the influence of her early work.	这位年轻作家试图摆脱早期作品的影响。	original_project_authored	draft_auto_validated	false
PH-H-0060	gather up	收拢；收集	表示把散落的人或物集中到一起。	Please gather up the papers before the wind blows them away.	请在风把纸吹走前把它们收拢起来。	original_project_authored	draft_auto_validated	false
PH-H-0061	lean on	倚靠；依赖；施压	可表示身体靠在某物上，也可表示依赖某人或迫使某人行动。	During difficult times, friends often lean on one another for support.	困难时期，朋友们常常相互依靠。	original_project_authored	draft_auto_validated	false
PH-H-0062	phase out	逐步淘汰；逐步停止	表示经过一段时间逐渐停止使用产品、制度或做法。	The company will phase out single-use plastic packaging.	这家公司将逐步停止使用一次性塑料包装。	original_project_authored	draft_auto_validated	false
PH-H-0063	pipe down	安静下来	非正式用语，用于要求某人降低声音或停止吵闹。	The librarian asked the noisy group to pipe down.	图书管理员让吵闹的一群人安静下来。	original_project_authored	draft_auto_validated	false
PH-H-0064	regard as	把某人或某物视为	常用被动结构 be regarded as，后接身份、评价或类别。	Many readers regard as classics the novels that capture their age.	许多读者把那些反映时代的小说视为经典。	original_project_authored	draft_auto_validated	false
PH-H-0065	settle on	选定；决定采用	表示经过考虑或讨论后最终选择某人、某物或方案。	After comparing several designs, we decided to settle on the simplest one.	比较了几种设计后，我们决定采用最简单的一种。	original_project_authored	draft_auto_validated	false
PH-H-0066	strike back	反击；回击	表示在受到攻击、批评或伤害后采取还击行动。	The team refused to give up and prepared to strike back.	这支队伍拒绝放弃，并准备反击。	original_project_authored	draft_auto_validated	false
PH-H-0067	take flight	起飞；逃走	可指鸟或飞机飞起，也可较正式地表示迅速逃离。	At the first sound of danger, the birds take flight.	一听到危险的声音，鸟儿便飞走了。	original_project_authored	draft_auto_validated	false
PH-H-0068	take root	生根；扎根	可按字面指植物生根，也可比喻思想或做法开始被接受并稳固发展。	The young trees need regular water before they take root.	这些幼树生根前需要定期浇水。	original_project_authored	draft_auto_validated	false
PH-H-0069	bow out	退出；告退	表示礼貌地退出活动、职位或竞争。	After ten years as captain, she decided to bow out gracefully.	担任队长十年后，她决定从容退出。	original_project_authored	draft_auto_validated	false
PH-H-0070	branch out	拓展新领域；扩大业务	表示从原有活动或领域扩展到新的方向。	The school newspaper plans to branch out into video reporting.	校报计划拓展到视频报道领域。	original_project_authored	draft_auto_validated	false
PH-H-0071	brush aside	不理会；轻视	表示未经认真考虑就忽视意见、担忧或问题。	It would be unwise to brush aside the safety warnings.	对安全警告置之不理是不明智的。	original_project_authored	draft_auto_validated	false
PH-H-0072	carve up	瓜分；分割	表示把土地、资源或组织分割给不同的人或团体，常含批评意味。	The proposal would carve up the park into separate development areas.	这项提议会把公园分割成不同的开发区域。	original_project_authored	draft_auto_validated	false
PH-H-0073	cast about	四处寻找；设法寻找	常与 for 连用，表示急切或费力地寻找办法、信息或物品。	The committee began to cast about for a practical solution.	委员会开始四处寻找可行的解决办法。	original_project_authored	draft_auto_validated	false
PH-H-0074	chew over	仔细考虑	非正式用语，表示在作决定前反复思考某个问题或建议。	Take a day to chew over the offer before replying.	回复之前花一天时间仔细考虑这项提议。	original_project_authored	draft_auto_validated	false
PH-H-0075	choke up	哽咽；堵塞	可表示因激动而说不出话，也可指通道被堵住。	He began to choke up while thanking his former teacher.	他感谢以前的老师时开始哽咽。	original_project_authored	draft_auto_validated	false
PH-H-0076	crop up	突然出现	通常指问题或意外情况没有预料地出现。	Unexpected costs may crop up during a long project.	长期项目中可能会突然出现意外开支。	original_project_authored	draft_auto_validated	false
PH-H-0077	drag up	重新提起不愉快的往事	表示不必要地再次谈论旧问题或令人难堪的事情。	There is no need to drag up an argument that ended years ago.	没有必要重提多年前已经结束的争论。	original_project_authored	draft_auto_validated	false
PH-H-0078	fold up	折叠；倒闭	可表示把物品折小，也可非正式地表示企业停止经营。	Fold up the chairs and store them behind the stage.	把椅子折起来，存放在舞台后面。	original_project_authored	draft_auto_validated	false
PH-H-0079	frame up	诬陷；陷害	表示通过伪造证据使无辜者看起来犯了罪，常用于被动语态。	The story follows a detective who discovers an attempt to frame up an innocent man.	这个故事讲述一名侦探发现有人企图诬陷一名无辜男子。	original_project_authored	draft_auto_validated	false
PH-H-0080	jazz up	使更有趣；使更活泼	非正式用语，表示通过增添内容、颜色或风格来改善某物。	A few illustrations could jazz up the presentation.	添加几幅插图可以让演示更生动。	original_project_authored	draft_auto_validated	false
PH-H-0081	lay aside	把某物放在一边；搁置	可表示暂时放下物品，也可表示停止考虑分歧、习惯或任务。	Both sides agreed to lay aside their disagreements for the day.	双方同意当天暂时搁置分歧。	original_project_authored	draft_auto_validated	false
PH-H-0082	measure up	达到标准；符合期望	常与 to 连用，表示达到要求、标准或他人的期待。	The new material must measure up to strict safety standards.	这种新材料必须达到严格的安全标准。	original_project_authored	draft_auto_validated	false
