sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
1,in the midst,in the midst,cet6,approved_dictionary_candidate_pool,OEWN,r,in_the_midst%4:02:00::,false,6,cet6,selected_for_cross_level_review,false
2,in vogue,in vogue,cet6,approved_dictionary_candidate_pool,OEWN,a,in_vogue%5:00:00:fashionable:00,false,1,cet6,selected_for_cross_level_review,false
3,at first blush,at first blush,cet6,approved_dictionary_candidate_pool,OEWN,r,at_first_blush%4:02:00::,false,0,cet6,selected_for_cross_level_review,false
4,in effect,in effect,cet6,approved_dictionary_candidate_pool,OEWN,a|r,in_effect%4:02:00::|in_effect%5:00:00:operative:00,false,3,junior,selected_for_cross_level_review,false
5,in private,in private,cet6,approved_dictionary_candidate_pool,OEWN,r,in_private%4:02:00::,false,3,junior,selected_for_cross_level_review,false
6,in truth,in truth,cet6,approved_dictionary_candidate_pool,OEWN,r,in_truth%4:02:01::,false,3,junior,selected_for_cross_level_review,false
7,to be sure,to be sure,cet6,approved_dictionary_candidate_pool,OEWN,r,to_be_sure%4:02:00::,false,3,junior,selected_for_cross_level_review,false
8,at large,at large,cet6,approved_dictionary_candidate_pool,OEWN,a|r,at_large%4:02:00::|at_large%5:00:00:free:00,false,2,junior,selected_for_cross_level_review,false
9,at will,at will,cet6,approved_dictionary_candidate_pool,OEWN,r,at_will%4:02:00::,false,2,junior,selected_for_cross_level_review,false
10,at worst,at worst,cet6,approved_dictionary_candidate_pool,OEWN,r,at_worst%4:02:00::,false,2,junior,selected_for_cross_level_review,false
11,all in all,all in all,cet6,approved_dictionary_candidate_pool,OEWN,r,all_in_all%4:02:00::,false,3,junior,selected_for_cross_level_review,false
12,all of a sudden,all of a sudden,cet6,approved_dictionary_candidate_pool,OEWN,r,all_of_a_sudden%4:02:00::|all_of_a_sudden%4:02:01::,false,3,junior,selected_for_cross_level_review,false
13,not to mention,not to mention,cet6,approved_dictionary_candidate_pool,OEWN,r,not_to_mention%4:02:00::,false,2,junior,selected_for_cross_level_review,false
14,pretty much,pretty much,cet6,approved_dictionary_candidate_pool,OEWN,r,pretty_much%4:02:00::,false,2,junior,selected_for_cross_level_review,false
15,that is to say,that is to say,cet6,approved_dictionary_candidate_pool,OEWN,r,that_is_to_say%4:02:00::,false,4,junior,selected_for_cross_level_review,false
16,for the most part,for the most part,cet6,approved_dictionary_candidate_pool,OEWN,r,for_the_most_part%4:02:00::,false,4,junior,selected_for_cross_level_review,false
17,as yet,as yet,cet6,approved_dictionary_candidate_pool,OEWN,r,as_yet%4:02:00::,false,5,junior,selected_for_cross_level_review,false
18,by nature,by nature,cet6,approved_dictionary_candidate_pool,OEWN,r,by_nature%4:02:00::,false,5,junior,selected_for_cross_level_review,false
19,on average,on average,cet6,approved_dictionary_candidate_pool,OEWN,r,on_average%4:02:00::,false,5,junior,selected_for_cross_level_review,false
20,to date,to date,cet6,approved_dictionary_candidate_pool,OEWN,r,to_date%4:02:00::,false,9,junior,selected_for_cross_level_review,false
21,for good,for good,cet6,approved_dictionary_candidate_pool,OEWN,r,for_good%4:02:00::,false,7,junior,selected_for_cross_level_review,false
22,let alone,let alone,cet6,approved_dictionary_candidate_pool,OEWN,r|v,let_alone%2:30:00::|let_alone%4:02:00::,false,3,junior,selected_for_cross_level_review,false
23,on the side,on the side,cet6,approved_dictionary_candidate_pool,OEWN,r,on_the_side%4:02:00::,false,7,junior,selected_for_cross_level_review,false
24,to the contrary,to the contrary,cet6,approved_dictionary_candidate_pool,OEWN,r,to_the_contrary%4:02:00::,false,7,senior_high,selected_for_cross_level_review,false
25,head on,head on,cet6,approved_dictionary_candidate_pool,OEWN,a|r,head-on%4:02:00::|head-on%4:02:01::|head-on%5:00:00:front:00|head-on%5:00:00:hostile:01,true,4,junior,selected_for_cross_level_review,false
26,on paper,on paper,cet6,approved_dictionary_candidate_pool,OEWN,r,on_paper%4:02:01::|on_paper%4:02:02::,false,6,junior,selected_for_cross_level_review,false
27,by chance,by chance,cet6,approved_dictionary_candidate_pool,OEWN,r,by_chance%4:02:00::|by_chance%4:02:02::|by_chance%4:02:03::,false,3,junior,selected_for_cross_level_review,false
28,deep down,deep down,cet6,approved_dictionary_candidate_pool,OEWN,r,deep_down%4:02:00::,false,3,junior,selected_for_cross_level_review,false
29,even so,even so,cet6,approved_dictionary_candidate_pool,OEWN,r,even_so%4:02:00::,false,3,junior,selected_for_cross_level_review,false
30,for certain,for certain,cet6,approved_dictionary_candidate_pool,OEWN,r,for_certain%4:02:00::,false,3,junior,selected_for_cross_level_review,false
31,for the moment,for the moment,cet6,approved_dictionary_candidate_pool,OEWN,r,for_the_moment%4:02:00::,false,3,junior,selected_for_cross_level_review,false
32,high and low,high and low,cet6,approved_dictionary_candidate_pool,OEWN,r,high_and_low%4:02:00::,false,3,junior,selected_for_cross_level_review,false
33,in concert,in concert,cet6,approved_dictionary_candidate_pool,OEWN,r,in_concert%4:02:00::,false,3,junior,selected_for_cross_level_review,false
34,in any case,in any case,cet6,approved_dictionary_candidate_pool,OEWN,r,in_any_case%4:02:00::|in_any_case%4:02:02::,false,2,junior,selected_for_cross_level_review,false
