word	definitions	sense_ids	notes
flour	noun=面粉|verb=撒上面粉；把……磨成粉	flour%1:13:00::|flour%2:35:00::|flour%2:30:00::	
flow	noun=流动；流量；连续不断的流|verb=流动；流淌；涌出	flow%1:11:00::|flow%1:28:00::|flow%1:04:00::|flow%1:22:00::	动词释义依据同一词条的流动语义概括。
flower	noun=花；开花植物|verb=开花；繁荣	flower%1:20:00::|flower%1:20:02::|flower%1:28:00::|flower%2:30:00::	
flu	noun=流行性感冒；流感	flu%1:26:00::	
fluent	adjective=流利的；流畅的	fluent%5:00:00:articulate:00|fluent%5:00:01:graceful:00	
fly	verb=飞；飞行；乘飞机|noun=苍蝇；飞虫	fly%1:05:00::	常用动词义依据基础英语用法补充；未收录服装开口等低相关义项。
focus	noun=焦点；重点；注意力集中|verb=集中；聚焦；调焦	focus%1:09:00::|focus%1:07:01::|focus%1:07:03::|focus%1:26:01::	动词义依据名词核心语义和基础英语用法补充；排除医学义项。
foggy	adjective=有雾的；模糊不清的；迷糊的	foggy%5:00:00:cloudy:00|foggy%5:00:00:indistinct:00|foggy%5:00:00:opaque:00|foggy%5:00:00:lethargic:00	
fold	verb=折叠；合拢；对折|noun=褶；折痕；折叠部分	fold%1:25:00::	常用动词义依据基础英语用法补充；排除宗教团体等低相关义项。
folk	noun=人们；某一群体；民众|adjective=民间的；民俗的	folk%1:14:00::|folk%1:14:01::|folk%1:14:02::|folk%1:10:00::	形容词义依据民间文化语义概括。
follow	verb=跟随；接着发生；遵循；听从；理解	follow%2:38:00::|follow%2:42:00::|follow%2:42:05::|follow%2:38:01::|follow%2:41:00::	“理解”是常见基础义，依据整体词条用法补充。
fond	adjective=喜爱的；深情的；溺爱的	fond%5:00:00:inclined:02|fond%5:00:02:loving:00|fond%5:00:01:loving:00	
food	noun=食物；食品；精神食粮	food%1:03:00::|food%1:09:00::	
foot	noun=脚；足；英尺；底部	foot%1:08:01::|foot%1:23:00::|foot%1:15:00::|foot%1:05:01::|foot%1:06:00::	
football	noun=足球运动；足球	football%1:04:00::|football%1:06:00::	
for	preposition=为了；给；对于；达；因为|conjunction=因为		OEWN无候选释义；依据基础英语功能词用法原创整理。
force	noun=力量；力；影响力；武装力量|verb=强迫；迫使；用力推动	force%1:07:01::|force%1:19:00::|force%1:07:00::|force%1:14:00::|force%1:14:01::	动词义依据名词核心语义和基础英语用法补充。
forecast	noun=预测；预报|verb=预测；预报	forecast%1:10:00::|forecast%2:32:00::|forecast%2:31:00::|forecast%2:32:01::	
forehead	noun=额头；前额	forehead%1:08:00::	排除颅骨专业义项。
foreign	adjective=外国的；国外的；外来的；不相干的	foreign%3:00:02::|foreign%3:00:01::|foreign%5:00:00:extrinsic:00|foreign%5:00:00:adulterating:00	
forest	noun=森林；林区|verb=在……造林	forest%1:14:00::|forest%1:17:00::|forest%2:35:00::	
forever	adverb=永远；长久地；总是	forever%4:02:00::|forever%4:02:02::|forever%4:02:03::	
forget	verb=忘记；忘了做；遗忘；落下	forget%2:31:01::|forget%2:31:00::|forget%2:31:03::|forget%2:31:02::	
forgive	verb=原谅；宽恕；免除债务	forgive%2:32:00::|forgive%2:41:00::	
fork	noun=餐叉；叉状物；分岔处|verb=分叉；用叉叉起	fork%1:06:00::|fork%1:04:00::|fork%1:25:00::|fork%1:06:02::	动词义依据名词核心语义和基础英语用法补充；排除身体部位义项。
form	noun=形式；形状；种类；表格|verb=形成；组成；填写	form%1:10:00::|form%1:09:01::|form%1:09:00::|form%1:07:01::	“表格”及动词义依据基础英语常用义补充。
formal	adjective=正式的；正规的；庄重的；形式上的	formal%3:00:01::|formal%5:00:00:official:00|formal%3:00:02::|formal%5:00:00:logical:00	
format	noun=格式；版式|verb=安排格式；格式化	format%1:10:00::|format%1:07:00::|format%2:36:00::|format%2:31:10::|format%2:30:09::	
former	adjective=以前的；前任的|pronoun=前者	former%3:00:00::|former%5:00:01:past:00|former%5:00:02:past:00|former%5:00:00:past:00|former%1:24:00::	
fortunately	adverb=幸运地；幸亏	fortunately%4:02:00::	
forty	numeral=四十	forty%5:00:00:cardinal:00|forty%1:23:00::	
forward	adverb=向前；往前|adjective=向前的；前部的；进步的|verb=转交；促进	forward%3:00:01::|forward%5:00:00:progressive:01|forward%1:18:00::	动词义依据基础英语常用义补充。
found	verb=创立；建立；把……建立在……基础上	found%2:41:00::|found%2:36:00::|found%2:31:00::	此处为found原形；另可作find的过去式和过去分词。
foundation	noun=基础；地基；基金会；基本原理	foundation%1:24:00::|foundation%1:14:00::|foundation%1:06:00::|foundation%1:09:01::|foundation%1:09:00::	
fountain	noun=喷泉；泉水；喷水装置	fountain%1:06:02::|fountain%1:17:00::|fountain%1:06:01::|fountain%1:06:00::	
four	numeral=四	four%5:00:00:cardinal:00|four%1:23:00::	
fourteen	numeral=十四	fourteen%5:00:00:cardinal:00|fourteen%1:23:00::	
fourth	ordinal=第四|noun=四分之一；第四个|adverb=第四地；第四点	fourth%5:00:00:ordinal:00|fourth%1:24:00::|fourth%1:23:00::|fourth%4:02:00::	
fox	noun=狐狸|verb=欺骗；使困惑	fox%1:05:00::|fox%2:41:00::|fox%2:31:00::	
France	proper_noun=法国		OEWN无候选释义；依据通用地名知识原创整理。
frank	adjective=坦率的；直言不讳的	frank%5:00:00:direct:02|frank%5:00:00:obvious:00	保留常用形容词义，未收录邮政及香肠等低相关义项。
free	adjective=自由的；免费的；空闲的；可用的|verb=释放；使自由|adverb=免费地	free%3:00:00::|free%5:00:00:unpaid:00|free%5:00:02:unoccupied:00|free%5:00:00:unfixed:00	动词和副词义依据基础英语常用义补充。
freedom	noun=自由；自主；免除	freedom%1:26:00::|freedom%1:26:01::	
freeze	verb=结冰；冷冻；冻住；僵住|noun=冻结；严寒；暂停	freeze%1:22:01::|freeze%1:19:00::|freeze%1:04:01::|freeze%1:04:02::|freeze%2:38:00::	
French	adjective=法国的；法国人的；法语的|noun=法语；法国人	french%3:01:00::|french%1:10:00::|french%1:18:00::	
frequency	noun=频率；发生次数；频繁程度	frequency%1:28:00::|frequency%1:24:00::|frequency%1:23:00::	
frequently	adverb=经常；频繁地	frequently%4:02:00::	
fresh	adjective=新鲜的；新近的；清新的；新颖的	fresh%3:00:01::|fresh%5:00:00:new:00|fresh%5:00:00:invigorating:00|fresh%5:00:00:original:00|fresh%3:00:02::	
