word	definitions	sense_ids	notes
expensive	adjective=昂贵的；费用高的	expensive%3:00:00::	
experience	noun=经验；经历；体验|verb=经历；体验；感受	experience%1:09:01::|experience%1:09:00::|experience%1:11:00::|experience%2:39:01::|experience%2:31:00::	
experiment	noun=实验；试验；尝试|verb=做实验；尝试	experiment%1:04:00::|experiment%1:09:00::|experiment%1:04:01::|experiment%2:41:01::|experiment%2:41:02::	
expert	noun=专家；能手|adjective=熟练的；专业的	expert%1:18:00::|expert%5:00:00:skilled:00|expert%5:00:05:skilled:00	
explain	verb=解释；说明；阐明	explain%2:32:00::|explain%2:32:01::|explain%2:32:02::	
explode	verb=爆炸；引爆；激增；大发雷霆	explode%2:30:00::|explode%2:30:01::|explode%2:30:03::|explode%2:31:00::|explode%2:35:00::	
explore	verb=探索；探究；考察；勘探	explore%2:31:00::|explore%2:31:01::|explore%2:31:02::	主动省略器官检查的医学专门义。
export	noun=出口商品；输出|verb=出口；输出数据；传播	export%1:06:00::|export%2:40:00::|export%2:40:01::|export%2:35:04::	
expose	verb=暴露；揭露；使接触；展示|noun=揭露报道	expose%2:39:02::|expose%2:32:01::|expose%2:39:00::|expose%1:10:00::	主动省略裸露身体的非核心义。
exposure	noun=暴露；接触；曝光；揭露；面向	exposure%1:07:00::|exposure%1:04:06::|exposure%1:10:00::|exposure%1:09:00::|exposure%1:26:01::	补充摄影中的高频曝光义。
express	verb=表达；表示；快递|adjective=明确的；特快的|noun=快车；快递|adverb=用快递方式	express%5:00:00:explicit:00|express%5:00:00:fast:01|express%1:06:00::|express%1:04:00::|express%1:10:00::	OEWN 候选支持形容词和名词义；补充高频动词、副词用法。
extend	verb=延伸；扩大；延长；提供	extend%2:30:01::|extend%2:42:03::|extend%2:42:01::|extend%2:40:05::|extend%2:29:01::	
extension	noun=延长；延期；扩建部分；分机；扩展名	extension%1:28:00::|extension%1:04:02::|extension%1:10:01::|extension%1:04:00::|extension%1:04:01::	补充电话分机和计算机扩展名义。
extent	noun=程度；范围；面积	extent%1:26:00::|extent%1:07:00::	
external	adjective=外部的；外来的；对外的|noun=外部特征	external%3:00:00::|external%5:00:00:extrinsic:00|external%5:00:00:foreign:02|external%1:09:00::	主动省略纯表面化的边缘义。
extinction	noun=灭绝；消亡；熄灭	extinction%1:26:01::|extinction%1:26:02::|extinction%1:11:00::	主动省略物理辐射和条件反射专门义。
extra	adjective=额外的；附加的|noun=额外事物；临时演员|adverb=格外；另外收费	extra%5:00:00:unnecessary:00|extra%5:00:00:unscheduled:00|extra%5:00:00:additive:00|extra%1:18:00::|extra%1:10:00::	补充常用副词用法。
extraordinary	adjective=非凡的；不同寻常的；特别的	extraordinary%3:00:00::|extraordinary%5:00:00:immoderate:00	主动省略官员特殊职务的专业义。
extremely	adverb=极其；非常	extremely%4:02:02::|extremely%4:02:00::	
eye	noun=眼睛；眼光；关注；中心；针眼|verb=注视；审视	eye%1:08:00::|eye%1:09:00::|eye%1:09:01::|eye%1:15:00::|eye%1:06:00::	OEWN 候选支持名词核心义；补充常用动词用法。
fabric	noun=织物；布料；结构	fabric%1:06:00::|fabric%1:07:00::	
face	noun=脸；面部表情；表面；外观|verb=面对；朝向；正视	face%1:08:00::|face%1:07:03::|face%1:07:00::|face%1:06:02::	主动省略以脸代人的边缘义；补充高频动词用法。
facilitate	verb=促进；使便利；帮助	facilitate%2:30:00::|facilitate%2:42:00::|facilitate%2:36:03::	
facility	noun=设施；场所；服务；才能	facility%1:06:00::|facility%1:04:01::|facility%1:04:00::|facility%1:09:00::	
fact	noun=事实；实际情况	fact%1:09:01::|fact%1:10:01::|fact%1:26:01::|fact%1:09:02::	
factor	noun=因素；因数；要素；代理商|verb=把……作为因素；分解因式	factor%1:11:00::|factor%1:09:00::|factor%1:23:00::|factor%1:18:00::|factor%1:23:01::	补充常用动词用法。
factory	noun=工厂；制造厂	factory%1:06:00::	
fail	verb=失败；未能；不及格；出故障；使失望	fail%2:41:00::|fail%2:41:02::|fail%2:30:00::|fail%2:37:00::|fail%2:41:08::	
failure	noun=失败；故障；不及格；失败者	failure%1:04:00::|failure%1:11:00::|failure%1:26:00::|failure%1:18:00::|failure%1:04:01::	
fair	adjective=公平的；合理的；相当好的；晴朗的|noun=集市；展览会|adverb=公平地；正面地	fair%3:00:03::|fair%5:00:00:moderate:00|fair%5:00:00:ordinary:00	主动省略棒球和古旧美貌义；补充中学常用的集市、天气和副词义。
faith	noun=信任；信念；信仰；忠诚	faith%1:09:01::|faith%1:09:00::|faith%1:14:00::|faith%1:04:00::	
fall	verb=落下；跌倒；下降；进入某状态|noun=秋季；跌落；下降	fall%1:28:00::|fall%1:04:01::|fall%1:11:01::|fall%1:17:00::	主动省略宗教失堕专门义；补充中学高频动词用法。
false	adjective=错误的；假的；不真诚的|adverb=不真实地	false%3:00:00::|false%5:00:00:incorrect:00|false%5:00:00:insincere:00|false%5:00:00:unrealistic:00	补充常用副词用法。
familiar	adjective=熟悉的；常见的；亲近的|noun=熟人	familiar%3:00:00::|familiar%3:00:02::|familiar%5:00:00:informed:00|familiar%5:00:00:close:02	主动省略宗教高官侍从的旧义；补充常见名词化用法。
family	noun=家庭；家族；一类相关事物|adjective=家庭的；适合全家的	family%1:14:00::|family%1:14:02::|family%1:14:01::|family%1:14:04::|family%1:18:00::	补充常用形容词用法。
famous	adjective=著名的；出名的	famous%5:00:00:known:00	
fan	noun=风扇；扇子；爱好者|verb=扇；煽动；呈扇形展开	fan%1:06:00::|fan%1:18:01::|fan%1:18:00::|fan%2:30:00::	主动省略棒球三振专门义；补充常用动词用法。
fancy	adjective=花哨的；精致的；昂贵的|noun=想象；喜爱；幻想|verb=想象；喜欢；想要	fancy%3:00:00::|fancy%1:09:01::|fancy%1:12:00::|fancy%2:36:00::	主动省略多人错误信念的边缘义；补充高频动词用法。
fantastic	adjective=极好的；奇异的；不切实际的；幻想的	fantastic%5:00:00:extraordinary:00|fantastic%5:00:00:strange:00|fantastic%5:00:00:unrealistic:00|fantastic%5:00:00:unreal:00	
fantasy	noun=幻想；想象；奇幻作品|verb=幻想	fantasy%1:09:00::|fantasy%1:10:00::|fantasy%2:36:00::	主动省略多人错误信念的边缘义。
far	adjective=远的；遥远的；极端的|adverb=远；大大地；到很大程度	far%3:00:00::|far%5:00:00:long:01|far%5:00:00:immoderate:00|far%4:02:02::	主动省略动物或车辆右侧的专门义。
