word	definitions	sense_ids	notes
biology	noun=生物学；生物特性；某地区的生物群	biology%1:09:00::|biology%1:19:00::|biology%1:14:00::	
bird	noun=鸟；禽肉；羽毛球	bird%1:05:00::|bird%1:13:00::|bird%1:06:01::	主动排除冒犯性和非教学常用义。
birth	noun=出生；分娩；诞生；出身	birth%1:11:00::|birth%1:22:00::|birth%1:28:00::|birth%1:24:00::	
birthday	noun=生日；出生日期	birthday%1:28:00::|birthday%1:28:01::	
biscuit	noun=饼干；小松饼	biscuit%1:13:02::|biscuit%1:13:00::	
bit	noun=一点；少量；小片；片刻	bit%1:23:01::|bit%1:17:00::|bit%1:28:00::	
bite	verb=咬；叮；刺痛|noun=咬伤；一口；少量食物	bite%1:26:00::|bite%1:26:01::|bite%1:13:01::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
bitter	adjective=苦的；痛苦的；怨恨的；严寒的|noun=苦味	bitter%5:00:00:resentful:00|bitter%5:00:00:intolerable:00|bitter%5:00:00:sorrowful:00	补充味觉和天气相关的中学常用义。
black	adjective=黑色的；黑人的；阴暗的|noun=黑色；黑人|verb=使变黑	black%3:00:01::|black%3:00:02::|black%5:00:00:hopeless:00	OEWN 候选支持形容词核心义；补充常用名词和动词用法。
blackboard	noun=黑板	blackboard%1:06:00::	
blame	verb=责怪；归咎于|noun=责任；责备	blame%2:32:00::|blame%2:32:01::|blame%1:10:01::|blame%1:10:00::	
blank	adjective=空白的；茫然的|noun=空白处；空格	blank%5:00:00:empty:00|blank%5:00:05:unperceptive:00|blank%1:10:00::	
blanket	noun=毯子；覆盖层|adjective=包括所有情形的；全面的|verb=覆盖	blanket%1:06:00::|blanket%1:17:00::|blanket%5:00:00:comprehensive:00|blanket%2:35:00::	
bleed	verb=流血；放血；渗开；排出液体	bleed%2:29:00::|bleed%2:29:01::|bleed%2:38:00::|bleed%2:30:00::	
bless	verb=祝福；赐福；使神圣	bless%2:32:00::|bless%2:40:00::|bless%2:32:01::	
blind	adjective=失明的；盲目的；看不见的|noun=盲人；百叶窗|verb=使失明；使看不清	blind%3:00:00::|blind%5:00:00:unperceptive:00|blind%5:00:00:irrational:00|blind%1:14:00::	OEWN 候选支持形容词和盲人集合义；补充常用名词、动词用法。
block	noun=块；街区；大楼；一组|verb=堵塞；阻挡；妨碍	block%1:06:00::|block%1:15:00::|block%1:14:00::|block%1:06:06::	OEWN 候选支持名词核心义；补充常用动词用法。
blog	noun=博客；网络日志|verb=写博客	blog%1:10:00::|blog%2:32:00::	
blood	noun=血；血液；血统；血气	blood%1:08:00::|blood%1:14:00::|blood%1:07:00::	
blouse	noun=女式衬衫；宽松上衣	blouse%1:06:00::	
blow	verb=吹；刮；吹响；爆炸|noun=打击；撞击；挫折；一阵风	blow%1:04:01::|blow%1:11:00::|blow%1:11:02::|blow%1:19:00::	OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
blue	adjective=蓝色的；忧郁的|noun=蓝色	blue%5:00:00:chromatic:00|blue%5:00:00:dejected:00	主动排除不适合基础教学的低俗义。
board	noun=木板；布告牌；委员会；膳食|verb=上船或飞机；寄宿	board%1:27:00::|board%1:06:00::|board%1:14:00::|board%1:13:00::|board%1:06:03::	OEWN 候选支持名词核心义；补充常用动词用法。
boat	noun=小船；艇|verb=乘船；划船	boat%1:06:00::|boat%2:38:00::	
body	noun=身体；躯干；团体；主体；天体	body%1:08:00::|body%1:08:01::|body%1:14:00::|body%1:17:00::	
boil	verb=沸腾；煮；烧开|noun=沸腾；疖	boil%2:30:01::|boil%2:30:00::|boil%2:30:02::|boil%1:26:00::	
bomb	noun=炸弹；彻底失败的事物|verb=轰炸；考试不及格	bomb%1:06:00::|bomb%1:11:00::|bomb%2:33:00::|bomb%2:41:00::	
bond	noun=纽带；联系；债券；化学键|verb=使结合；建立关系	bond%1:24:00::|bond%1:21:02::|bond%1:19:00::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
bone	noun=骨；骨头；骨质|adjective=骨制的|verb=剔骨；专心学习	bone%1:08:00::|bone%1:27:00::|bone%5:00:01:bony:00|bone%2:31:00::	
bonus	noun=奖金；额外好处	bonus%1:21:00::|bonus%1:09:00::	
book	noun=书；本子；账簿|verb=预订；登记；控告	book%1:10:00::|book%1:06:00::|book%1:21:00::	OEWN 候选支持名词核心义；补充中学阶段高频动词用法。
boost	noun=推动；帮助；增长|verb=促进；提高；增强	boost%1:04:00::|boost%1:07:00::|boost%1:04:01::|boost%2:38:00::|boost%2:30:02::	
boot	noun=靴子；汽车后备箱|verb=踢；启动计算机	boot%1:06:00::|boot%1:06:01::	OEWN 候选支持名词核心义；补充常用动词用法。
border	noun=边界；国界；边缘|verb=与……接壤；给……加边	border%1:15:00::|border%1:25:00::|border%1:15:01::|border%1:06:00::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
bored	adjective=感到无聊的；厌倦的	bored%5:00:00:uninterested:00|bored%5:00:00:tired:00	
boring	adjective=无聊的；令人厌烦的|noun=钻孔	boring%5:00:00:uninteresting:00|boring%1:04:01::	
born	adjective=出生的；天生的	born%3:00:00::|born%5:00:00:intelligent:00	
