word	definitions	sense_ids	notes
disabled	adjective=残疾的；有身体或心理功能障碍的|noun=残障人士群体	disabled%5:00:00:unfit:01|disabled%1:14:00::	中文采用中性现代措辞，不沿用来源中的陈旧称呼。
disappear	verb=消失；失踪；不复存在；逐渐减弱	disappear%2:30:00::|disappear%2:39:00::|disappear%2:30:02::|disappear%2:30:10::	
disappointed	adjective=失望的；沮丧的	disappointed%5:00:00:unsuccessful:00	来源释义覆盖有限；按通行的情感状态用法编写。
disaster	noun=灾难；灾害；彻底失败	disaster%1:11:00::|disaster%1:26:00::|disaster%1:04:00::	
discipline	noun=纪律；训练；学科；处罚|verb=训练；管教；处罚	discipline%1:09:00::|discipline%1:09:01::|discipline%1:04:00::|discipline%1:04:01::	OEWN 候选支持名词核心义；补充常用动词用法。
discount	noun=折扣；减价|verb=打折；低估；不予考虑	discount%1:04:00::|discount%1:21:00::|discount%2:32:00::	补充常用的打折和低估动词义。
discover	verb=发现；找到；了解到；揭露	discover%2:39:03::|discover%2:31:01::|discover%2:36:00::|discover%2:40:00::|discover%2:32:04::	
discovery	noun=发现；被发现的事物；新见解	discovery%1:04:00::|discovery%1:10:00::|discovery%1:09:00::	主动省略诉讼证据开示的专业义。
discrimination	noun=歧视；区别；辨别力	discrimination%1:04:00::|discrimination%1:09:00::	
discuss	verb=讨论；谈论；论述	discuss%2:32:01::|discuss%2:32:00::	
discussion	noun=讨论；议论；论述	discussion%1:10:02::|discussion%1:10:00::	
disease	noun=疾病；病害	disease%1:26:00::	
dish	noun=盘；碟；一道菜；卫星天线|verb=把食物装盘；提供；说闲话	dish%1:06:00::|dish%1:13:00::|dish%1:06:01::	主动排除对女性的物化称呼；补充常用动词用法。
disk	noun=圆盘；磁盘；唱片	disk%1:25:00::|disk%1:06:00::|disk%1:06:03::|disk%1:06:02::	主动省略耙地动词生僻义。
dismiss	verb=解雇；驳回；不予考虑；让……离开	dismiss%2:41:00::|dismiss%2:32:02::|dismiss%2:32:00::|dismiss%2:32:01::	
display	noun=展示；陈列；显示器|verb=展示；陈列；显示	display%1:04:00::|display%1:06:00::|display%1:10:00::|display%1:10:01::	OEWN 候选支持名词核心义；补充常用动词用法。
distance	noun=距离；远处；间隔；疏远|verb=使远离；疏远	distance%1:07:00::|distance%1:15:00::|distance%1:28:00::|distance%1:12:00::	OEWN 候选支持名词核心义；补充常用动词用法。
distant	adjective=遥远的；久远的；疏远的；冷淡的	distant%3:00:01::|distant%5:00:01:far:00|distant%5:00:02:far:00|distant%5:00:00:reserved:01	
distinct	adjective=不同的；清楚的；独立的；明确的	distinct%5:00:00:different:00|distinct%3:00:00::|distinct%5:00:00:separate:00|distinct%5:00:00:definite:00	
distinguish	verb=区分；辨别；使有别于；使杰出	distinguish%2:31:00::|distinguish%2:39:00::|distinguish%2:31:02::|distinguish%2:32:00::	
distribution	noun=分配；分发；分布；经销	distribution%1:04:00::|distribution%1:07:00::|distribution%1:09:00::|distribution%1:04:01::	
district	noun=地区；行政区|verb=把……划分为区	district%1:15:00::|district%2:41:00::	
disturb	verb=打扰；扰乱；使不安；弄乱	disturb%2:30:00::|disturb%2:37:00::|disturb%2:35:01::|disturb%2:35:00::	
