word	definitions	sense_ids	notes
pianist	noun=钢琴家；钢琴演奏者	pianist%1:18:00::	
pile	noun=一堆；大量；桩；绒面|verb=堆放；拥挤；打桩	pile%1:14:00::|pile%1:23:00::|pile%1:06:01::|pile%2:35:00::|pile%2:38:00::	
pillow	noun=枕头|verb=把……枕在……上	pillow%1:06:00::|pillow%2:35:00::	
pin	noun=大头针；别针；销钉|verb=钉住；别住；压制	pin%1:06:01::|pin%1:06:02::|pin%2:35:03::|pin%2:35:01::|pin%2:33:00::	
pine	noun=松树；松木|verb=消瘦；渴望	pine%1:20:00::|pine%1:20:02::|pine%2:37:00::	
pleased	adjective=高兴的；满意的；乐意的	pleased%3:00:00::|pleased%5:00:00:proud:00	
poisonous	adjective=有毒的；恶毒的；不可食用的	poisonous%5:00:00:toxic:00|poisonous%5:00:00:malicious:00|poisonous%5:00:00:inedible:00	
portable	adjective=便携式的；可移动的|noun=便携设备	portable%3:00:00::|portable%5:00:00:outboard:00|portable%1:06:00::	
porter	noun=搬运工；门卫；列车服务员；黑啤酒|verb=搬运行李	porter%1:18:00::|porter%1:18:02::|porter%1:18:01::|porter%1:13:00::|porter%2:35:00::	
possess	verb=拥有；具有；支配	possess%2:40:00::|possess%2:42:00::|possess%2:42:02::	
possibility	noun=可能性；可能的事；潜力	possibility%1:26:00::|possibility%1:09:00::|possibility%1:09:01::	
possibly	adverb=可能；或许；无论如何	possibly%4:02:00::|possibly%4:02:01::	
powder	noun=粉末；火药；粉状化妆品|verb=研成粉；扑粉	powder%1:27:00::|powder%1:27:01::|powder%1:06:01::|powder%2:30:00::|powder%2:29:00::	
powerful	adjective=强大的；有力的；有影响力的|adverb=非常	powerful%3:00:00::|powerful%5:00:02:strong:00|powerful%5:00:00:influential:00|powerful%4:02:00::	
prayer	noun=祈祷；祷文；请求；祈祷者	prayer%1:04:00::|prayer%1:10:00::|prayer%1:10:01::|prayer%1:18:00::	
precise	adjective=精确的；准确的；严谨的	precise%3:00:00::|precise%5:00:00:correct:00	
pregnant	adjective=怀孕的；意味深长的；充满的	pregnant%3:00:00::|pregnant%5:00:00:meaningful:00|pregnant%5:00:00:full:00	
preparation	noun=准备；制剂；准备工作；预备状态	preparation%1:04:02::|preparation%1:27:00::|preparation%1:09:00::|preparation%1:26:00::	
prescription	noun=处方；规定；药方|adjective=凭处方出售的	prescription%1:10:00::|prescription%1:06:00::|prescription%1:10:02::|prescription%3:00:00::	
preview	noun=预览；预演；预告片|verb=预先观看	preview%1:10:01::|preview%1:10:00::|preview%2:39:00::	
printer	noun=印刷工；打印机；印刷机	printer%1:18:00::|printer%1:06:01::|printer%1:06:00::	
printing	noun=印刷；印刷品；印刷术；字体	printing%1:04:00::|printing%1:10:01::|printing%1:10:00::|printing%1:10:02::	
prisoner	noun=囚犯；俘虏；被困住的人	prisoner%1:18:00::	
privilege	noun=特权；荣幸；优惠|verb=给予特权	privilege%1:07:02::|privilege%1:07:00::|privilege%1:07:01::|privilege%2:41:00::	
probable	adjective=很可能的；可信的|noun=可能发生的事	probable%3:00:00::|probable%5:00:00:likely:00|probable%1:18:00::	
production	noun=生产；产量；产品；演出；制作	production%1:04:00::|production%1:23:00::|production%1:06:00::|production%1:10:00::	
properly	adverb=恰当地；正确地；真正地	properly%4:02:00::|properly%4:02:03::|properly%4:02:02::	
protection	noun=保护；防护物；保险；保护费	protection%1:04:00::|protection%1:06:00::|protection%1:21:00::|protection%1:04:02::	
publicly	adverb=公开地；当众；以公众身份	publicly%4:02:00::|publicly%4:02:01::	
pulse	noun=脉搏；脉冲；豆类|verb=搏动；发出脉冲	pulse%1:11:00::|pulse%1:28:00::|pulse%1:13:00::|pulse%2:38:00::|pulse%2:36:00::	
pump	noun=泵；抽水机|verb=抽送；打气；反复盘问	pump%1:06:00::|pump%2:35:00::|pump%2:38:01::|pump%2:32:00::	
