word	definitions	sense_ids	notes
cute	adjective=可爱的；漂亮迷人的；机灵的	cute%5:00:00:attractive:01|cute%5:00:00:artful:00	
cycle	noun=循环；周期；自行车|verb=骑自行车；循环	cycle%1:28:00::|cycle%1:11:02::|cycle%1:11:01::	OEWN 候选支持周期义；补充中学高频的自行车名词和动词用法。
daily	adjective=每日的；日常的|noun=日报|adverb=每天；逐日地	daily%5:00:00:periodic:00|daily%5:00:00:informal:01|daily%1:10:00::|daily%4:02:00::|daily%4:02:01::	
damage	noun=损害；损失；赔偿金|verb=损害；毁坏	damage%1:11:00::|damage%1:04:00::|damage%1:04:01::	主动省略来源中把 cost 误作 damage 的边缘义；补充常用动词用法。
damp	adjective=潮湿的|noun=潮气；湿气|verb=使潮湿；抑制；减弱	damp%5:00:00:wet:01|damp%1:26:00::|damp%2:39:00::|damp%2:30:04::	
dance	verb=跳舞；舞动|noun=舞蹈；舞会	dance%2:38:01::|dance%1:04:00::|dance%1:10:00::|dance%1:11:00::	
danger	noun=危险；危险因素；险境	danger%1:26:00::|danger%1:26:01::|danger%1:15:00::	
dangerous	adjective=危险的；可能造成伤害的	dangerous%3:00:00::|dangerous%5:00:00:critical:03	
dare	modal_verb=敢；胆敢|verb=敢于；挑战|noun=挑战；激将	dare%2:41:01::|dare%2:32:00::|dare%1:10:00::	补充课标中 dare 作为情态动词的语法用法。
dark	adjective=黑暗的；深色的；隐秘的；邪恶的|noun=黑暗；暗处	dark%3:00:01::|dark%3:00:02::|dark%5:00:00:concealed:00|dark%5:00:00:evil:00	OEWN 候选支持形容词义；补充常用名词化用法。
data	noun=数据；资料	data%1:14:00::	在正式用法中可视为 datum 的复数，现代英语中也常作集合名词。
database	noun=数据库；资料库	database%1:10:00::	
date	noun=日期；约会；约会对象；海枣|verb=注明日期；约会；始于	date%1:28:00::|date%1:28:03::|date%1:14:00::|date%1:18:00::	OEWN 候选支持日期和约会义；补充海枣名词及高频动词用法。
daughter	noun=女儿；子代事物	daughter%1:18:00::	补充比喻性的“子代事物”用法。
day	noun=一天；白天；日子；时期；工作日	day%1:28:00::|day%1:28:02::|day%1:28:03::|day%1:28:04::	
dead	adjective=死的；失去作用的；筋疲力尽的|noun=死者|adverb=完全地；恰好	dead%3:00:01::|dead%3:00:02::|dead%5:00:00:tired:00|dead%5:00:00:precise:00	补充常见名词化和副词用法。
deadline	noun=截止日期；最后期限	deadline%1:28:00::	
deaf	adjective=聋的；不愿听的|noun=聋人群体|verb=使耳聋	deaf%3:00:00::|deaf%5:00:01:heedless:00|deaf%1:14:00::|deaf%2:39:00::	
deal	noun=交易；协议；大量|verb=处理；交易；发牌；分配	deal%1:04:02::|deal%1:10:00::|deal%1:23:00::	主动排除木材专门义；补充中学阶段高频动词用法。
dear	adjective=亲爱的；珍爱的；昂贵的|noun=亲爱的人|adverb=高价地；深深地|interjection=哎呀	dear%5:00:00:loved:00|dear%5:00:00:close:02|dear%5:00:00:expensive:00|dear%1:18:00::	补充常用副词和感叹词用法。
death	noun=死；死亡；终止	death%1:11:00::|death%1:19:00::|death%1:26:00::|death%1:28:00::	
debate	noun=辩论；讨论|verb=辩论；讨论；斟酌	debate%1:10:01::|debate%1:10:00::|debate%2:31:00::|debate%2:32:00::|debate%2:32:02::	
debt	noun=债；债务；欠下的人情或义务	debt%1:26:00::|debt%1:21:00::|debt%1:10:00::	
decade	noun=十年；十个	decade%1:28:00::|decade%1:23:00::	
December	proper_noun=十二月	december%1:28:00::	月份专名按专有名词展示。
decent	adjective=体面的；得体的；相当好的；像样的	decent%5:00:00:respectable:00|decent%5:00:00:proper:00	主动省略性行为和衣着程度的边缘义。
