word	definitions	sense_ids	notes
thin	adjective=薄的；瘦的；稀疏的；稀薄的|verb=使变薄；变稀	thin%3:00:01::|thin%3:00:03::|thin%5:00:00:narrow:00|thin%5:00:00:distributed:00	
thing	noun=东西；事情；事物；情况	thing%1:26:00::|thing%1:04:00::|thing%1:09:00::|thing%1:06:00::	
think	verb=想；认为；思考；料想|noun=思考	think%1:09:00::|think%2:31:01::|think%2:31:03::|think%2:31:00::	
thinking	noun=思考；想法|adjective=有思想的；理性的	thinking%5:00:00:rational:00|thinking%1:09:00::	
third	ordinal=第三|noun=三分之一；第三名	third%5:00:00:ordinal:00|third%1:23:00::|third%1:04:00::|third%1:24:00::	
thirsty	adjective=口渴的；渴望的；干旱的	thirsty%5:00:00:dry:01|thirsty%3:00:00::|thirsty%5:00:00:desirous:00|thirsty%5:00:00:absorbent:00	
thirteen	numeral=十三	thirteen%5:00:00:cardinal:00|thirteen%1:23:00::	
thirty	numeral=三十	thirty%5:00:00:cardinal:00|thirty%1:23:00::	
this	determiner=这；这个|pronoun=这；这件事|adverb=这么		OEWN无候选释义；依据基础英语指示词用法原创整理。
thorough	adjective=彻底的；全面的；仔细的	thorough%5:00:00:careful:00|thorough%5:00:00:complete:00|thorough%5:00:00:unmitigated:00	
those	determiner=那些|pronoun=那些人或事物		OEWN无候选释义；依据基础英语指示词用法原创整理。
though	conjunction=虽然；尽管|adverb=不过；可是	though%4:02:01::	连词义依据基础英语常用义补充。
thought	noun=想法；思考；思想；意图	thought%1:09:01::|thought%1:09:00::|thought%1:09:02::|thought%1:09:03::	
thousand	numeral=一千；许多|noun=一千个	thousand%5:00:00:cardinal:00|thousand%1:23:00::	
threat	noun=威胁；恐吓；构成威胁的人或事	threat%1:26:00::|threat%1:10:00::|threat%1:10:01::|threat%1:18:00::	
threaten	verb=威胁；恐吓；预示凶兆	threaten%2:42:00::|threaten%2:32:00::|threaten%2:32:01::	
three	numeral=三|noun=三个；三点牌	three%5:00:00:cardinal:00|three%1:23:00::|three%1:06:00::	
through	preposition=穿过；通过；从头到尾|adverb=穿过；到底|adjective=完成的；直达的	through%5:00:00:finished:01|through%5:00:00:direct:00|through%4:02:03::|through%4:02:01::	
throughout	preposition=遍及；贯穿|adverb=到处；自始至终	throughout%4:02:00::|throughout%4:02:02::	
throw	verb=投；扔；使陷入|noun=投掷；一段距离；罩布	throw%1:04:00::|throw%1:26:00::|throw%1:11:00::|throw%1:06:00::	
thunder	noun=雷；雷声；轰隆声|verb=打雷；轰鸣；怒吼	thunder%1:11:00::|thunder%1:11:01::|thunder%1:06:00::|thunder%2:38:00::	
Thursday	proper_noun=星期四	thursday%1:28:00::	
thus	adverb=因此；这样；到这种程度	thus%4:02:00::|thus%4:02:01::	排除同形香料义项。
ticket	noun=票；车票；罚单；标签|verb=售票；贴标签	ticket%1:10:01::|ticket%1:10:03::|ticket%1:10:00::|ticket%1:10:02::	
tidy	adjective=整洁的；井然有序的；可观的|verb=整理；收拾|noun=收纳盒	tidy%3:00:00::|tidy%5:00:00:groomed:00|tidy%5:00:00:considerable:00|tidy%1:06:00::	
tie	verb=系；捆；打成平局|noun=领带；联系；平局	tie%1:06:01::|tie%1:26:01::|tie%1:26:00::|tie%1:06:02::	
tiger	noun=老虎；凶猛的人	tiger%1:18:00::|tiger%1:05:00::	
tight	adjective=紧的；紧密的；严格的；拮据的|adverb=紧紧地	tight%3:00:01::|tight%5:00:00:tense:01|tight%5:00:00:invulnerable:00|tight%5:00:00:closed:03	
time	noun=时间；次数；时期；时机|verb=计时；安排时间	time%1:11:00::|time%1:28:05::|time%1:28:00::|time%1:28:06::	
tiny	adjective=极小的；微小的	tiny%5:00:00:small:00	
tip	noun=尖端；小费；建议；倾斜|verb=使倾斜；给小费；告密	tip%1:15:00::|tip%1:21:00::|tip%1:10:00::|tip%1:25:00::	
tired	adjective=疲倦的；厌烦的；陈旧的	tired%3:00:00::|tired%5:00:00:unoriginal:00	
tissue	noun=组织；纸巾；薄纸|verb=用薄纸装饰	tissue%1:08:00::|tissue%1:27:02::|tissue%2:36:00::	
title	noun=标题；称号；头衔；所有权|verb=给……加标题	title%1:10:05::|title%1:10:00::|title%1:10:01::|title%1:26:00::	
to	preposition=向；到；给；对于|infinitive_marker=用于动词原形前		OEWN无候选释义；依据基础英语功能词用法原创整理。
toast	noun=烤面包片；祝酒；被祝酒的人|verb=烘烤；举杯祝酒	toast%1:13:00::|toast%1:18:00::|toast%1:18:01::|toast%1:13:01::	
tobacco	noun=烟草；烟草制品	tobacco%1:06:00::|tobacco%1:20:00::	
today	noun=今天；当今|adverb=在今天；现今	today%1:28:00::|today%1:28:01::|today%4:02:01::|today%4:02:00::	
together	adverb=一起；共同；相互|adjective=情绪稳定的	together%5:00:00:unneurotic:00|together%4:02:02::|together%4:02:03::|together%4:02:10::	
toilet	noun=厕所；马桶；梳洗；盥洗室	toilet%1:06:00::|toilet%1:06:01::|toilet%1:26:00::|toilet%1:04:00::	
tolerate	verb=容忍；忍受；允许；耐受	tolerate%2:31:00::|tolerate%2:41:01::|tolerate%2:39:00::|tolerate%2:32:01::	
tomato	noun=番茄；西红柿；番茄植株	tomato%1:13:00::|tomato%1:20:00::	
tomorrow	noun=明天；未来|adverb=在明天	tomorrow%1:28:01::|tomorrow%1:28:00::|tomorrow%4:02:00::	
ton	noun=吨；大量	ton%1:23:02::|ton%1:23:01::	
tone	noun=语气；音调；色调；状态|verb=使更健壮；调色	tone%1:10:01::|tone%1:07:02::|tone%1:07:01::|tone%1:26:01::	
tonight	noun=今晚；今夜|adverb=在今晚	tonight%1:28:00::|tonight%4:02:00::	
too	adverb=也；太；过于	too%4:02:00::|too%4:02:01::	
tool	noun=工具；手段；受人利用者|verb=使用工具加工	tool%1:06:00::|tool%1:04:00::|tool%1:18:00::|tool%1:08:00::	
tooth	noun=牙齿；齿状物；齿；咬合力	tooth%1:08:00::|tooth%1:06:01::|tooth%1:05:02::|tooth%1:04:00::	
toothache	noun=牙痛	toothache%1:26:00::	
