word	definitions	sense_ids	notes
suitable	adjective=合适的；适宜的；符合条件的	suitable%5:00:00:fit:02|suitable%5:00:00:eligible:00	
sum	noun=总数；金额；算术题；概要|verb=合计；总结	sum%1:21:00::|sum%1:09:01::|sum%1:14:00::|sum%1:09:00::	动词义依据基础英语常用义补充。
summary	noun=摘要；概要|adjective=简要的；即时的	summary%5:00:00:unofficial:00|summary%5:00:00:concise:00|summary%1:10:00::	
summer	noun=夏天；夏季|verb=避暑	summer%1:28:00::|summer%1:28:01::|summer%2:42:00::	
sun	noun=太阳；阳光|verb=晒太阳；晒干	sun%1:19:00::|sun%1:17:01::|sun%2:29:00::	排除人物义项。
Sunday	proper_noun=星期日；星期天	sunday%1:28:00::	
sunny	adjective=阳光充足的；晴朗的；开朗的	sunny%5:00:00:cheerful:00|sunny%5:00:01:light:06	
super	adjective=极好的；超级的|noun=主管；管理员|adverb=非常	super%5:00:00:superior:02|super%5:00:00:comprehensive:00|super%5:00:00:large:00|super%1:18:00::	副词义依据基础英语常用义补充。
superb	adjective=极好的；卓越的	superb%5:00:00:superior:02|superb%5:00:00:good:01	
superior	adjective=更好的；较高的；上级的|noun=上级；优胜者	superior%3:00:02::|superior%3:00:01::|superior%5:00:00:dominant:01|superior%3:00:00::	名词义依据基础英语常用义补充。
supermarket	noun=超级市场；超市	supermarket%1:06:00::	
supply	noun=供应；供给量；物资|verb=供应；提供	supply%1:23:00::|supply%1:22:00::|supply%1:04:00::|supply%2:40:00::	
support	verb=支持；支撑；供养|noun=支持；支撑物；证据	support%1:04:04::|support%1:04:00::|support%1:09:00::|support%1:04:03::	动词义依据基础英语常用义补充。
suppose	verb=认为；假设；料想；应当	suppose%2:32:00::|suppose%2:31:00::|suppose%2:31:01::|suppose%2:31:06::	
sure	adjective=确信的；可靠的；一定的|adverb=当然；确实	sure%3:00:00::|sure%5:00:00:careful:00|sure%3:00:04::|sure%5:00:00:secure:02	副词义依据基础英语常用义补充。
surf	noun=海浪；拍岸浪|verb=冲浪；浏览网络	surf%1:11:00::|surf%2:38:00::|surf%2:35:03::|surf%2:30:00::	
surface	noun=表面；水面；外观|adjective=表面的|verb=浮出；显露	surface%3:00:00::|surface%1:06:00::|surface%1:15:00::|surface%1:17:00::	动词义依据基础英语常用义补充。
surgeon	noun=外科医生	surgeon%1:18:00::	
