word	definitions	sense_ids	notes
twenty	numeral=二十|noun=二十个；二十元钞票	twenty%5:00:00:cardinal:00|twenty%1:23:00::|twenty%1:21:00::	
twice	adverb=两次；两倍	twice%4:02:00::|twice%4:02:01::	
twin	noun=双胞胎之一；相似物|adjective=双生的；成对的|verb=使结成姐妹城市	twin%5:00:00:matched:00|twin%1:18:00::|twin%1:06:00::|twin%2:42:00::	
two	numeral=二|noun=两个；二点牌	two%5:00:00:cardinal:00|two%1:23:00::|two%1:06:00::	
type	noun=类型；典型；字体|verb=打字；归类	type%1:09:00::|type%1:18:00::|type%1:14:01::|type%1:10:01::	动词义依据基础英语常用义补充。
typhoon	noun=台风	typhoon%1:19:00::	
typical	adjective=典型的；特有的；一贯的	typical%3:00:00::|typical%5:00:00:characteristic:00|typical%5:00:00:normal:01	
ugly	adjective=丑陋的；恶劣的；险恶的；可怕的	ugly%3:00:00::|ugly%5:00:00:ill-natured:00|ugly%5:00:00:evil:00|ugly%5:00:02:alarming:00	
UK	proper_noun=英国；联合王国		OEWN无该缩写候选释义；依据通用国名知识原创整理。
ultimately	adverb=最终；归根结底	ultimately%4:02:01::	
umbrella	noun=雨伞；保护伞|adjective=综合性的；总括的	umbrella%5:00:00:comprehensive:00|umbrella%1:06:00::|umbrella%1:04:00::|umbrella%1:04:01::	
uncle	noun=叔父；伯父；舅父；姑父；姨父	uncle%1:18:00::|uncle%1:18:01::	
under	preposition=在……下面；低于；受……控制|adverb=在下面；少于|adjective=下面的；从属的	under%5:00:00:low:01|under%5:00:00:subordinate:01|under%4:02:05::|under%4:02:07::	介词义依据基础英语功能词用法补充。
underground	adjective=地下的；秘密的|noun=地铁；地下组织|adverb=在地下	underground%5:00:00:subsurface:00|underground%5:00:00:covert:00|underground%1:14:00::|underground%1:06:00::	副词义依据基础英语常用义补充。
understand	verb=理解；明白；得知；认为	understand%2:31:00::|understand%2:31:01::|understand%2:31:03::|understand%2:31:02::	
uniform	noun=制服；统一服装|adjective=统一的；一致的；均匀的	uniform%3:00:00::|uniform%5:00:00:homogeneous:00|uniform%3:00:04::|uniform%5:00:00:regular:00	名词义依据基础英语常用义补充。
unique	adjective=独特的；唯一的；罕见的	unique%5:00:00:incomparable:00|unique%5:00:00:specific:00|unique%5:00:00:single:05|unique%5:00:00:unusual:00	
unit	noun=单位；单元；部队；装置	unit%1:23:00::|unit%1:24:00::|unit%1:14:00::|unit%1:09:00::	
universe	noun=宇宙；世界；总体	universe%1:17:00::|universe%1:09:01::|universe%1:09:00::	
university	noun=大学；大学全体人员	university%1:14:00::|university%1:06:00::|university%1:14:01::	
unless	conjunction=除非；若不		OEWN无候选释义；依据基础英语从属连词用法原创整理。
until	preposition=直到；到……为止|conjunction=直到……为止		OEWN候选属于同音异义词till，未采用；释义依据基础英语功能词用法原创整理。
unusual	adjective=不寻常的；罕见的；独特的	unusual%3:00:00::|unusual%3:00:02::|unusual%5:00:00:uncommon:00	
up	adverb=向上；在上面；起床|preposition=沿着；向……上面|adjective=向上的；醒着的|verb=提高	up%3:00:00::|up%5:00:00:awake:00|up%5:00:00:rising:00|up%5:00:00:ascending:00	副词、介词和动词义依据基础英语常用义补充。
update	noun=最新消息；更新|verb=更新；使现代化	update%1:10:00::|update%1:04:00::|update%2:30:00::|update%2:32:00::	
upon	preposition=在……上；一……就；根据		OEWN无候选释义；依据基础英语功能词用法原创整理。
