word	definitions	sense_ids	notes
youth	noun=青年；青春时期；年轻人群	youth%1:18:00::|youth%1:28:00::|youth%1:14:00::	
zero	noun=零；零点|adjective=零的；没有的	zero%5:00:00:cardinal:00|zero%5:00:00:no:00	
zone	noun=地区；区域；地带	zone%1:15:00::|zone%1:15:02::|zone%1:15:01::	
zoo	noun=动物园	zoo%1:06:00::	
abolish	verb=废除；取消	abolish%2:41:00::	
abortion	noun=流产；人工流产	abortion%1:04:00::|abortion%1:11:00::	
abrupt	adjective=突然的；唐突的；陡峭的	abrupt%5:00:00:sudden:00|abrupt%5:00:00:discourteous:00|abrupt%5:00:00:steep:00	
absolute	adjective=绝对的；完全的；确凿无疑的	absolute%3:00:00::|absolute%5:00:01:complete:00|absolute%5:00:00:unequivocal:00	
absurd	adjective=荒谬的；不合逻辑的|noun=荒诞；荒谬	absurd%5:00:00:illogical:00|absurd%5:00:00:foolish:00|absurd%1:26:00::	
abundant	adjective=大量的；丰富的；充足的	abundant%3:00:00::	
academy	noun=学院；专门学校；研究院	academy%1:14:00::|academy%1:14:02::|academy%1:14:01::	
accelerate	verb=加速；促进；使加快	accelerate%2:30:00::|accelerate%2:30:01::	
accessible	adjective=可到达的；可使用的；易理解的；平易近人的	accessible%3:00:00::|accessible%5:00:00:available:00|accessible%5:00:00:comprehensible:00|accessible%5:00:00:approachable:00	
accomplish	verb=完成；实现；达到	accomplish%2:36:00::|accomplish%2:41:00::	
accountant	noun=会计；会计师	accountant%1:18:00::	
accumulate	verb=积累；积聚；逐渐增加	accumulate%2:40:00::|accumulate%2:30:00::	
accuracy	noun=准确性；精确度	accuracy%1:07:02::|accuracy%1:07:03::	
accustomed	adjective=习惯的；通常的	accustomed%5:00:00:usual:00	习惯于某事的常用义据词形和开放语义证据独立概括
acquaintance	noun=认识的人；熟人；相识；了解	acquaintance%1:18:00::|acquaintance%1:26:00::|acquaintance%1:09:00::	
acquisition	noun=获得；取得；购得物；学得	acquisition%1:04:00::|acquisition%1:21:00::|acquisition%1:09:00::	
actual	adjective=实际的；真实的；确实的	actual%3:00:00::|actual%5:00:00:real:00|actual%5:00:00:true:00	
acute	adjective=严重的；急性的；敏锐的；尖锐的	acute%3:00:00::|acute%3:00:02::|acute%5:00:00:perceptive:00|acute%5:00:00:sharp:04	
adequate	adjective=足够的；适当的；合格的	adequate%3:00:00::|adequate%5:00:00:sufficient:00|adequate%5:00:00:satisfactory:00	
