word	definitions	sense_ids	notes
pan	noun=平底锅；烤盘|verb=严厉批评；摇摄	pan%1:06:01::|pan%1:06:00::|pan%2:38:00::|pan%2:35:00::	
pancake	noun=薄煎饼；烙饼	pancake%1:13:00::	
panda	noun=大熊猫；小熊猫	panda%1:05:01::|panda%1:05:02::	
panel	noun=面板；专门小组；嵌板|verb=镶嵌；组成评审组	panel%1:06:00::|panel%1:14:01::|panel%1:14:02::|panel%1:14:00::	动词义依据基础英语常用义补充。
panic	noun=恐慌；惊慌|verb=使恐慌；惊慌	panic%1:12:00::|panic%1:26:01::|panic%2:37:00::|panic%2:37:01::	
paper	noun=纸；报纸；论文；试卷|verb=用纸覆盖	paper%1:27:00::|paper%1:10:01::|paper%1:10:03::|paper%1:10:00::	动词义依据基础英语常用义补充。
paragraph	noun=段落；短文|verb=分段；写短文	paragraph%1:10:00::|paragraph%2:41:00::|paragraph%2:36:01::|paragraph%2:36:00::	
parcel	noun=包裹；一块地；一批|verb=打包；分成若干部分	parcel%1:06:00::|parcel%1:04:00::|parcel%1:15:00::|parcel%1:14:00::	动词义依据基础英语常用义补充。
pardon	noun=原谅；赦免|verb=原谅；赦免	pardon%1:04:00::|pardon%1:10:00::|pardon%1:04:01::|pardon%2:32:01::	
parent	noun=父亲或母亲；母体|verb=养育；做父母	parent%1:18:00::|parent%1:03:00::|parent%2:41:00::	
park	noun=公园；停车场；园区|verb=停车；放置	park%1:15:00::|park%1:15:01::|park%1:06:00::|park%1:15:02::	动词义依据基础英语常用义补充。
parking	noun=停车；停车处；停车费	parking%1:23:00::|parking%1:04:00::	
part	noun=部分；部件；角色；地区|verb=分开；离开|adverb=部分地	part%1:24:00::|part%1:06:00::|part%1:17:00::|part%1:09:02::	动词和副词义依据基础英语常用义补充。
participate	verb=参加；参与	participate%2:41:00::|participate%2:33:00::	
particular	adjective=特定的；特别的；讲究的|noun=细节；项目	particular%5:00:00:specific:00|particular%5:00:02:specific:00|particular%5:00:00:uncommon:00|particular%5:00:00:primary:00	名词义依据基础英语常用义补充。
partner	noun=伙伴；搭档；合伙人|verb=与……合作；配对	partner%1:18:01::|partner%1:18:00::|partner%1:18:02::|partner%2:40:00::	
party	noun=聚会；政党；一方；一群人|verb=参加聚会	party%1:14:01::|party%1:14:00::|party%1:14:02::|party%1:11:00::	动词义依据基础英语常用义补充。
pass	verb=经过；通过；传递；去世|noun=通行证；及格；传球|adjective=及格的	pass%3:00:00::|pass%1:04:04::|pass%1:28:00::|pass%1:04:02::	动词义依据基础英语常用义补充。
passage	noun=通道；段落；经过；旅程	passage%1:04:04::|passage%1:10:00::|passage%1:06:00::|passage%1:04:01::	
passenger	noun=乘客；旅客	passenger%1:18:00::	
passion	noun=激情；热爱；强烈情感	passion%1:12:00::|passion%1:07:00::|passion%1:26:01::|passion%1:16:00::	
passive	adjective=被动的；消极的；非暴力的|noun=被动语态	passive%3:00:01::|passive%5:00:00:nonviolent:00|passive%3:00:02::|passive%1:24:00::	
passport	noun=护照；通行证；成功手段	passport%1:10:01::|passport%1:10:00::|passport%1:07:00::	
past	adjective=过去的；结束的|noun=过去；往事|preposition=经过；超过|adverb=经过	past%3:00:00::|past%5:00:00:outgoing:00|past%1:28:00::|past%1:28:01::	介词和副词义依据基础英语常用义补充。
patent	noun=专利；专利权|adjective=明显的；公开的|verb=取得专利	patent%5:00:00:unobstructed:00|patent%5:00:00:obvious:00|patent%1:10:01::|patent%1:10:00::	动词义依据基础英语常用义补充。
path	noun=小路；路线；途径；轨道	path%1:04:00::|path%1:06:00::|path%1:15:00::|path%1:17:00::	
patience	noun=耐心；忍耐；耐性	patience%1:07:00::|patience%1:04:01::	
patient	noun=病人；患者|adjective=有耐心的；忍耐的	patient%3:00:00::|patient%1:18:00::|patient%1:10:00::	
pattern	noun=模式；图案；样式；典范|verb=仿制；形成模式	pattern%1:09:00::|pattern%1:04:00::|pattern%1:06:00::|pattern%1:09:03::	动词义依据基础英语常用义补充。
pay	verb=支付；付出代价；有收益|noun=工资；报酬	pay%1:21:01::|pay%2:40:00::|pay%2:32:00::|pay%2:40:04::	
PE	noun=体育；体育课	physical_education%1:09:00::	physical education的缩写。
peace	noun=和平；安宁；和睦	peace%1:26:00::|peace%1:26:01::|peace%1:12:00::|peace%1:26:02::	
peak	noun=顶峰；峰值；高峰期|verb=达到顶峰|adjective=高峰的	peak%1:23:00::|peak%1:28:00::|peak%1:26:00::|peak%1:15:00::	动词和形容词义依据基础英语常用义补充。
pear	noun=梨；梨树	pear%1:13:00::|pear%1:20:00::	
pen	noun=钢笔；笔；围栏|verb=写；把……关入栏中	pen%1:06:00::|pen%1:06:01::|pen%1:06:03::|pen%1:06:02::	动词义依据基础英语常用义补充。
pencil	noun=铅笔；笔状物|verb=用铅笔写或画	pencil%1:06:00::|pencil%1:27:00::|pencil%1:25:00::|pencil%1:06:01::	动词义依据基础英语常用义补充。
people	noun=人们；人民；民族；家人|verb=居住于；使住满	people%1:14:00::|people%1:14:01::|people%1:14:02::|people%1:14:03::	动词义依据基础英语常用义补充。
pepper	noun=胡椒；辣椒；胡椒粉|verb=撒胡椒；连续攻击	pepper%1:20:01::|pepper%1:20:00::|pepper%1:13:01::|pepper%1:13:02::	动词义依据基础英语常用义补充。
per	preposition=每；每一；按照		OEWN无候选释义；依据基础英语功能词用法原创整理。
perceive	verb=察觉；感知；理解	perceive%2:39:00::|perceive%2:31:00::	
percent	noun=百分之一；百分比	percent%1:24:00::	
percentage	noun=百分比；比例；部分	percentage%1:24:00::|percentage%1:21:00::	
perfect	adjective=完美的；完全的；准确的|verb=使完美|noun=完成时	perfect%3:00:00::|perfect%5:00:00:unmitigated:00|perfect%5:00:00:exact:00|perfect%1:24:00::	动词义依据基础英语常用义补充。
performance	noun=表演；表现；执行；性能	performance%1:10:00::|performance%1:04:01::|performance%1:04:00::|performance%1:04:03::	
perhaps	adverb=也许；可能	perhaps%4:02:00::	
period	noun=时期；一段时间；课时；句号	period%1:28:00::|period%1:28:02::|period%1:28:07::|period%1:28:03::	
permanent	adjective=永久的；长期不变的|noun=烫发	permanent%3:00:00::|permanent%5:00:00:irreversible:00|permanent%1:08:00::	
permit	verb=允许；准许|noun=许可证；许可	permit%1:10:02::|permit%1:04:00::|permit%2:32:00::	排除同形鱼类义项。
person	noun=人；个人；人称	person%1:03:00::|person%1:08:00::|person%1:10:00::	
personal	adjective=个人的；私人的；亲自的；身体的|noun=个人广告	personal%3:00:00::|personal%3:01:01::|personal%3:01:00::|personal%5:00:00:physical:00	名词义依据基础英语常用义补充。
personality	noun=个性；性格；名人	personality%1:07:00::|personality%1:18:00::	
persuade	verb=说服；劝服；使相信	persuade%2:41:00::|persuade%2:32:00::	
pessimistic	adjective=悲观的；悲观主义的	pessimistic%3:00:00::	
pet	noun=宠物；宠儿|adjective=宠爱的|verb=抚摸	pet%5:00:00:loved:00|pet%1:05:00::|pet%1:18:00::|pet%1:12:00::	动词义依据基础英语常用义补充。
petrol	noun=汽油	petrol%1:27:00::	英式用法。
phase	noun=阶段；时期；相；方面|verb=分阶段进行	phase%1:28:00::|phase%1:26:00::|phase%1:28:01::|phase%1:07:00::	动词义依据基础英语常用义补充。
phenomenon	noun=现象；非凡的人或事物	phenomenon%1:03:00::|phenomenon%1:11:00::	
philosophy	noun=哲学；人生观；基本原则	philosophy%1:09:01::|philosophy%1:09:00::|philosophy%1:09:02::	
phone	noun=电话；电话机|verb=打电话	phone%1:06:00::|phone%1:10:00::|phone%1:06:01::|phone%2:32:00::	
photo	noun=照片；相片|verb=拍照	photo%1:06:00::|photograph%1:06:00::|photograph%2:32:00::|photograph%2:42:00::	
photographer	noun=摄影师；摄影者	photographer%1:18:00::	
phrase	noun=短语；措辞；乐句|verb=表达；措辞	phrase%1:10:00::|phrase%1:10:01::|phrase%1:10:02::|phrase%1:04:00::	动词义依据基础英语常用义补充。
physician	noun=医生；内科医生	physician%1:18:00::	
physics	noun=物理学；物理性质	physics%1:09:00::|physics%1:09:01::	
piano	noun=钢琴|adjective=轻柔的|adverb=轻柔地	piano%3:00:00::|piano%1:06:00::|piano%1:07:00::|piano%4:02:00::	
pick	verb=选择；采摘；挑出|noun=选择；精选；镐	pick%1:09:00::|pick%1:23:00::|pick%1:14:00::|pick%1:06:02::	动词义依据基础英语常用义补充。
picnic	noun=野餐；轻松的事|verb=去野餐	picnic%1:28:00::|picnic%1:04:00::|picnic%1:13:00::|picnic%2:34:00::	
picture	noun=图片；照片；情形；印象|verb=描绘；想象	picture%1:06:00::|picture%1:06:01::|picture%1:09:00::|picture%1:26:00::	动词义依据基础英语常用义补充。
pie	noun=馅饼；派	pie%1:13:00::	
piece	noun=片；块；件；作品|verb=拼合；修补	piece%1:06:00::|piece%1:06:05::|piece%1:17:00::|piece%1:10:01::	动词义依据基础英语常用义补充。
pig	noun=猪；贪婪或肮脏的人|verb=大吃；生小猪	pig%1:05:00::|pig%1:18:02::|pig%1:18:00::|pig%1:18:01::	动词义依据基础英语常用义补充。
pill	noun=药丸；口服避孕药；讨厌的人	pill%1:06:01::|pill%1:06:00::|pill%1:18:00::|pill%1:09:00::	
pilot	noun=飞行员；领航员；试播节目|verb=驾驶；试行|adjective=试点的	pilot%1:18:00::|pilot%1:18:01::|pilot%1:10:00::|pilot%1:09:00::	动词和形容词义依据基础英语常用义补充。
pink	adjective=粉红色的|noun=粉红色；石竹花	pink%5:00:00:chromatic:00|pink%1:07:00::|pink%1:20:00::	排除人物贬义义项。
pioneer	noun=先驱；开拓者|verb=开创；率先使用	pioneer%1:18:01::|pioneer%1:18:00::|pioneer%2:36:00::|pioneer%2:36:01::	
pipe	noun=管；管道；烟斗；管乐器|verb=用管输送；吹奏	pipe%1:06:01::|pipe%1:06:00::|pipe%1:25:00::|pipe%1:06:04::	动词义依据基础英语常用义补充。
pity	noun=同情；遗憾；可惜的事|verb=同情；怜悯	pity%1:12:00::|pity%1:11:00::|pity%1:07:00::|pity%2:37:00::	
place	noun=地方；位置；住所；地位|verb=放置；安排；认出	place%1:15:00::|place%1:15:04::|place%1:09:00::|place%1:15:01::	动词义依据基础英语常用义补充。
plain	adjective=清楚的；朴素的；普通的|noun=平原|adverb=完全地	plain%5:00:00:obvious:00|plain%3:00:01::|plain%3:00:02::|plain%5:00:00:pure:02	名词和副词义依据基础英语常用义补充。
plan	noun=计划；方案；平面图|verb=计划；打算；设计	plan%1:09:00::|plan%1:09:01::|plan%1:06:00::|plan%2:31:01::	
plane	noun=飞机；平面；刨子|adjective=平的|verb=滑翔；刨平	plane%5:00:00:even:01|plane%1:06:01::|plane%1:25:00::|plane%1:26:00::	动词义依据基础英语常用义补充。
planet	noun=行星；星球	planet%1:17:00::|planet%1:17:01::	排除人物及占星义项。
plant	noun=植物；工厂；设备|verb=种植；安置	plant%1:06:01::|plant%1:03:00::|plant%1:18:00::|plant%1:09:00::	动词义依据基础英语常用义补充。
plastic	noun=塑料|adjective=塑料的；可塑的；不自然的	plastic%5:00:00:elastic:00|plastic%5:00:00:impressionable:00|plastic%5:00:00:constructive:00|plastic%1:27:00::	
plate	noun=盘子；板；金属板；车牌|verb=镀；装盘	plate%1:06:04::|plate%1:06:02::|plate%1:06:06::|plate%1:06:00::	动词义依据基础英语常用义补充。
platform	noun=平台；站台；纲领；计算机平台	platform%1:06:00::|platform%1:10:00::|platform%1:06:03::|platform%1:06:01::	
play	verb=玩；打球；演奏；扮演|noun=游戏；戏剧；比赛	play%1:10:01::|play%1:10:03::|play%1:04:05::|play%1:04:04::	动词义依据基础英语常用义补充。
player	noun=运动员；演奏者；演员；播放设备	player%1:18:01::|player%1:18:02::|player%1:18:00::|player%1:18:04::	
playground	noun=操场；游乐场；活动场所	playground%1:15:00::|playground%1:06:00::	
pleasant	adjective=令人愉快的；友好的；宜人的	pleasant%3:00:00::|pleasant%5:00:00:nice:00	
please	verb=使高兴；使满意；想要|adverb=请；劳驾	please%4:02:00::|please%2:37:00::|please%2:37:01::|please%2:37:03::	
pleasure	noun=愉快；乐趣；荣幸；娱乐	pleasure%1:12:00::|pleasure%1:09:00::|pleasure%1:09:01::|pleasure%1:04:02::	
plenty	pronoun=大量；充足|noun=丰富；充裕|adverb=很；充分地	plenty%1:07:00::|plenty%1:23:00::|plenty%4:02:00::	
plot	noun=情节；阴谋；小块土地；图表|verb=密谋；绘制；标出	plot%1:09:00::|plot%1:15:00::|plot%1:10:00::|plot%1:10:01::	动词义依据基础英语常用义补充。
plug	noun=插头；塞子；广告|verb=堵住；插入；宣传	plug%1:06:00::|plug%1:13:00::|plug%1:10:00::|plug%1:06:02::	动词义依据基础英语常用义补充。
plus	preposition=加；加上|adjective=正的；有利的|noun=加号；优点|conjunction=而且	plus%3:00:00::|plus%5:00:00:advantageous:00|plus%1:07:00::|plus%1:10:01::	介词和连词义依据基础英语常用义补充。
p.m.	adverb=下午；晚间|noun=下午时段	p.m.%1:28:02::|p.m.%4:02:03::	
pocket	noun=口袋；小块区域；一笔钱|verb=把……装入口袋；侵吞	pocket%1:06:00::|pocket%1:25:00::|pocket%1:21:00::|pocket%1:25:02::	动词义依据基础英语常用义补充。
poem	noun=诗；诗歌	poem%1:10:00::	
poet	noun=诗人	poet%1:18:00::	
