word	definitions	sense_ids	notes
attitude	noun=态度；看法；姿势	attitude%1:09:00::|attitude%1:07:01::	
attract	verb=吸引；引起……的兴趣；招引	attract%2:35:00::|attract%2:37:00::|attract%2:35:01::	
audience	noun=观众；听众；读者群；会见	audience%1:14:00::|audience%1:14:01::|audience%1:10:00::	
August	proper_noun=八月	august%1:28:00::	按月份专名规范展示词性。
aunt	noun=姑母；姨母；伯母；婶母；舅母	aunt%1:18:00::	中文亲属称谓按父母姐妹或叔舅配偶的通用范围展开。
Australia	proper_noun=澳大利亚；澳洲		通用国家名；OEWN 无对应候选义项，未使用旧词表释义。
Australian	adjective=澳大利亚的；澳大利亚人的|noun=澳大利亚人	australian%3:01:00::|australian%1:18:00::	
author	noun=作者；作家；创始人|verb=撰写；创作	author%1:18:00::|author%1:18:01::|author%2:36:00::	
authority	noun=权力；权限；当局；权威人士；权威性	authority%1:07:00::|authority%1:18:01::|authority%1:18:00::|authority%1:14:00::	
automatic	adjective=自动的；无意识的|noun=自动武器	automatic%3:00:00::|automatic%5:00:00:involuntary:02|automatic%1:06:01::	
autonomous	adjective=自治的；自主的；独立的	autonomous%5:00:00:free:00|autonomous%5:00:02:independent:00|autonomous%5:00:01:independent:00	
autumn	noun=秋天；秋季	autumn%1:28:00::	
available	adjective=可获得的；可使用的；有空的	available%3:00:00::|available%5:00:00:free:00	
average	noun=平均数；平均水平|adjective=平均的；普通的；中等的|verb=平均为；计算平均值	average%5:00:02:normal:01|average%5:00:00:ordinary:00|average%5:00:00:moderate:00	OEWN 候选支持形容词核心义；补充常用名词和动词用法。
avoid	verb=避免；躲开；防止	avoid%2:32:00::|avoid%2:41:01::|avoid%2:41:03::	
awake	adjective=醒着的；警觉的|verb=醒来；唤醒	awake%3:00:00::|awake%5:00:00:aware:00|awake%2:29:00::	
award	noun=奖；奖品；裁定|verb=授予；判给	award%1:10:00::|award%1:21:00::|award%1:04:00::|award%2:40:00::|award%2:40:01::	
aware	adjective=知道的；意识到的；留意的	aware%3:00:00::|aware%3:00:04::	
away	adjective=不在的；客场的|adverb=离开；远离；不断地	away%5:00:00:absent:00|away%3:00:00::|away%4:02:00::	
awesome	adjective=令人惊叹的；极好的；可畏的	awesome%5:00:00:impressive:00	
awful	adjective=糟糕的；可怕的；非常严重的	awful%5:00:00:bad:00|awful%5:00:00:alarming:00|awful%5:00:00:extraordinary:00	
awkward	adjective=笨拙的；尴尬的；难处理的；不方便的	awkward%3:00:00::|awkward%5:00:00:difficult:00|awkward%5:00:00:inconvenient:00	
baby	noun=婴儿；幼崽；最年幼者|adjective=幼小的	baby%1:18:00::|baby%1:05:00::|baby%1:18:01::	
back	noun=背部；后面；靠背|adjective=后面的；过去的|adverb=向后；回到原处|verb=支持；后退	back%1:08:00::|back%1:06:00::|back%3:00:00::|back%5:00:00:noncurrent:00	OEWN 候选支持名词和形容词核心义；补充常用副词、动词用法。
background	noun=背景；经历；背景资料；底色	background%1:07:00::|background%1:09:00::|background%1:09:01::|background%1:11:01::	
backward	adjective=向后的；落后的；迟缓的|adverb=向后；倒着	backward%3:00:01::|backward%5:00:00:undynamic:00|backward%4:02:03::	
bacon	noun=培根；熏猪肉	bacon%1:13:00::	
bad	adjective=坏的；糟糕的；严重的；变质的|noun=坏事；不良之处	bad%3:00:00::|bad%5:00:00:intense:00|bad%5:00:00:stale:00	OEWN 候选支持常用形容词义；补充固定名词化用法。
badminton	noun=羽毛球运动	badminton%1:04:00::	
bag	noun=袋；包；一袋的量|verb=把……装进袋；捕获	bag%1:06:00::|bag%1:06:02::|bag%1:23:00::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
bakery	noun=面包店；烘焙坊	bakery%1:06:00::	
balance	noun=平衡；均衡；余额；剩余部分|verb=使平衡；权衡；结算	balance%1:26:00::|balance%1:07:00::|balance%1:21:00::|balance%1:24:00::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
ball	noun=球；球状物；舞会	ball%1:06:01::|ball%1:25:00::|ball%1:06:02::	保留中学常用义；舞会义依据通行用法补充。
ballet	noun=芭蕾舞；芭蕾舞剧；芭蕾舞曲	ballet%1:04:00::|ballet%1:10:00::	
balloon	noun=气球；热气球|verb=乘热气球；膨胀	balloon%1:06:00::|balloon%1:06:01::|balloon%2:38:00::|balloon%2:30:00::	
bamboo	noun=竹；竹子；竹材	bamboo%1:20:00::|bamboo%1:20:02::	
ban	noun=禁令；禁止|verb=禁止；取缔	ban%1:10:00::|ban%1:10:01::	OEWN 候选支持名词义；补充对应的常用动词用法。
banana	noun=香蕉；香蕉树	banana%1:13:00::|banana%1:20:00::	
band	noun=乐队；一群人；带；条纹|verb=用带捆扎；联合	band%1:14:00::|band%1:14:02::|band%1:14:01::|band%1:07:00::	OEWN 候选支持名词核心义；补充对应的常用动词用法。
bank	noun=银行；河岸；堤；储备|verb=把钱存入银行；依靠；倾斜飞行	bank%1:14:00::|bank%1:17:01::|bank%1:17:00::|bank%1:21:00::	OEWN 候选支持名词核心义；补充常用动词用法。
bar	noun=酒吧；柜台；条；障碍|verb=禁止；阻挡|preposition=除……外	bar%1:06:04::|bar%1:06:05::|bar%1:06:00::|bar%1:06:02::	OEWN 候选支持名词核心义；补充常用动词和介词用法。
barbecue	noun=烧烤；烤肉；烤架|verb=烧烤	barbecue%1:13:00::|barbecue%1:13:02::|barbecue%1:06:00::|barbecue%2:30:00::	
barely	adverb=仅仅；勉强；几乎不	barely%4:02:00::|barely%4:02:02::|barely%4:02:03::	
bark	noun=树皮；狗叫声|verb=吠叫；厉声说	bark%1:20:00::|bark%1:11:00::|bark%2:32:01::	补充与名词狗叫声对应的常用动词用法。
barrier	noun=障碍物；屏障；阻碍	barrier%1:06:00::|barrier%1:09:00::|barrier%1:17:00::	
base	noun=基础；基地；底部；底座|verb=以……为基础；把基地设在|adjective=基本的；卑鄙的	base%5:00:00:basic:00|base%5:00:00:wrong:01|base%5:00:00:ignoble:01	OEWN 当前候选顺序以形容词义为主；补充中学阶段高频名词和动词用法。
baseball	noun=棒球运动；棒球	baseball%1:04:00::|baseball%1:06:00::	
basic	adjective=基本的；基础的；初级的|noun=基本要素；必需品	basic%3:00:00::|basic%5:00:02:first:00|basic%1:06:00::	
basin	noun=盆；水池；盆地；流域	basin%1:06:00::|basin%1:17:00::|basin%1:15:00::|basin%1:06:01::	
