word	definitions	sense_ids	notes
poetry	noun=诗；诗歌；诗意	poetry%1:10:02::|poetry%1:10:03::	
point	noun=要点；观点；点；分数|verb=指；指向；指出	point%1:09:00::|point%1:15:00::|point%1:10:01::|point%1:09:01::	动词义依据基础英语常用义补充。
poison	noun=毒物；毒药|verb=使中毒；毒害；破坏	poison%1:27:00::|poison%1:07:00::|poison%2:41:00::|poison%2:35:00::	
polar	adjective=极地的；极性的；截然相反的	polar%5:00:00:charged:00|polar%5:00:00:different:00|polar%3:01:00::|polar%3:00:00::	
pole	noun=杆；柱；地极；两极之一	pole%1:06:00::|pole%1:09:00::|pole%1:23:01::|pole%1:23:02::	
police	noun=警察；警方|verb=维持治安；监督	police%1:14:00::|police%2:41:00::	
policeman	noun=男警察；警员	policeman%1:18:01::	
policewoman	noun=女警察；女警员	policewoman%1:18:00::	
policy	noun=政策；方针；保险单	policy%1:09:00::|policy%1:10:00::|policy%1:10:02::	
polish	noun=光泽；擦亮剂；文雅|verb=擦亮；润色	polish%1:07:00::|polish%1:26:00::|polish%1:27:00::|polish%2:35:00::	
polite	adjective=有礼貌的；客气的；文雅的	polite%3:00:00::|polite%5:00:00:refined:01|polite%3:00:04::	
political	adjective=政治的；政党的；政治性的	political%3:00:00::|political%3:01:01::|political%3:01:02::	
politician	noun=政治家；政客；善于权术的人	politician%1:18:01::|politician%1:18:00::|politician%1:18:02::	
politics	noun=政治；政治学；政治活动；政治观点	politics%1:24:00::|politics%1:09:00::|politics%1:04:00::|politics%1:09:01::	
pollute	verb=污染；弄脏；玷污	pollute%2:30:00::	
pollution	noun=污染；污染物；污染行为	pollution%1:26:00::|pollution%1:26:02::|pollution%1:04:00::	
pond	noun=池塘；水塘	pond%1:17:00::	
pool	noun=水池；游泳池；共同资金|verb=集中；合并	pool%1:06:00::|pool%1:17:00::|pool%1:14:01::|pool%1:14:00::	动词义依据基础英语常用义补充。
poor	adjective=贫穷的；差的；可怜的；不足的|noun=穷人	poor%5:00:00:unfortunate:00|poor%3:00:00::|poor%3:00:03::|poor%3:00:02::	名词义依据基础英语常用义补充。
popular	adjective=受欢迎的；大众的；流行的	popular%3:00:00::|popular%5:00:00:democratic:00|popular%5:00:01:common:01|popular%5:00:00:nonclassical:00	
population	noun=人口；种群；全体居民；总体	population%1:14:00::|population%1:14:01::|population%1:09:00::|population%1:23:00::	
pork	noun=猪肉；政治拨款	pork%1:13:00::|pork%1:21:00::	
port	noun=港口；端口；波尔图酒|adjective=左舷的	port%5:00:00:left:00|port%1:15:00::|port%1:13:00::|port%1:06:00::	
pose	verb=摆姿势；造成；提出；冒充|noun=姿势；装腔作势	pose%1:07:00::|pose%1:07:01::|pose%1:04:00::|pose%2:42:00::	
position	noun=位置；职位；立场；姿势|verb=放置；定位	position%1:15:00::|position%1:15:02::|position%1:09:00::|position%1:07:01::	动词义依据基础英语常用义补充。
