word	definitions	sense_ids	notes
lame	adjective=跛的；站不住脚的；乏味的|verb=使跛	lame%5:00:01:unfit:01|lame%5:00:00:weak:00|lame%2:29:00::	
laser	noun=激光；激光器	laser%1:06:00::	
lately	adverb=最近；近来	lately%4:02:00::	
latter	adjective=后者的；后半的|noun=后者	latter%3:00:00::|latter%1:24:00::	
laughter	noun=笑声；笑	laughter%1:10:00::|laughter%1:04:00::	
laundry	noun=待洗衣物；洗衣房；洗衣店	laundry%1:06:01::|laundry%1:06:00::	
leading	adjective=主要的；领先的；最好的|noun=引导；铅条	leading%5:00:02:major:06|leading%5:00:00:superior:01|leading%3:00:00::|leading%1:04:00::	
learned	adjective=博学的；有学问的；通过学习获得的	learned%5:00:00:scholarly:00|learned%5:00:00:educated:00|learned%3:00:02::	
liberate	verb=解放；释放；使摆脱；窃取	liberate%2:41:01::|liberate%2:41:02::|liberate%2:41:00::|liberate%2:36:03::	
lid	noun=盖子；眼睑	lid%1:06:00::|lid%1:08:00::	
lifetime	noun=一生；终生；使用期限	lifetime%1:28:00::	
lightning	noun=闪电；闪电般的事件	lightning%1:19:00::|lightning%1:11:00::	
lip	noun=嘴唇；边缘；唇状部分	lip%1:08:00::|lip%1:06:00::|lip%1:20:00::	
loaf	noun=一条面包；块状物|verb=闲逛；懒散度日	loaf%1:13:00::|loaf%1:13:01::|loaf%2:42:01::|loaf%2:42:00::	
loudly	adverb=大声地；响亮地；花哨地	loudly%4:02:00::|loudly%4:02:04::|loudly%4:02:02::	
lounge	noun=休息室；候机厅|verb=懒散地坐卧；闲逛	lounge%1:06:01::|lounge%1:06:00::|lounge%2:35:00::|lounge%2:42:00::	
luggage	noun=行李	luggage%1:06:00::	
maid	noun=女仆；少女	maid%1:18:01::|maid%1:18:00::	
mainland	noun=大陆；本土	mainland%1:17:00::	
maple	noun=枫树；枫木	maple%1:20:02::|maple%1:20:00::	
marble	noun=大理石；玻璃弹珠；大理石制品|verb=使呈大理石纹	marble%1:27:00::|marble%1:06:00::|marble%1:06:01::|marble%2:36:00::	
married	adjective=已婚的；婚姻的|noun=已婚者	married%3:00:00::|married%3:01:00::|married%1:18:00::	
mask	noun=面具；口罩；掩饰|verb=掩盖；戴面具；遮蔽	mask%1:06:00::|mask%1:04:00::|mask%2:39:00::|mask%2:35:00::	
mat	noun=垫子；席子|adjective=无光泽的|verb=缠结；铺垫	mat%1:06:00::|mat%5:00:00:dull:02|mat%2:30:00::|mat%2:35:00::	
meanwhile	adverb=与此同时；在此期间|noun=其间	meanwhile%4:02:01::|meanwhile%4:02:00::|meanwhile%1:28:00::	
mend	verb=修补；修理；改善|noun=修补处；好转	mend%2:30:00::|mend%2:30:01::|mend%1:06:00::|mend%1:04:00::	
mentally	adverb=精神上；心理上；在头脑中	mentally%4:02:00::	
merchant	noun=商人；批发商	merchant%1:18:00::	
messy	adjective=凌乱的；肮脏的；棘手的	messy%5:00:00:untidy:00	棘手义据常用比喻义独立概括
microwave	noun=微波；微波炉|verb=用微波炉加热	microwave%1:19:00::|microwave%1:06:00::|microwave%2:30:00::	
midday	noun=正午；中午	midday%1:28:00::	
millionaire	noun=百万富翁；富豪	millionaire%1:18:00::	
ministry	noun=政府部门；部；牧师工作；神职人员	ministry%1:14:01::|ministry%1:06:00::|ministry%1:14:00::|ministry%1:04:00::	
minus	preposition=减去；缺少|adjective=负的；不利的|noun=减号；缺点	minus%3:00:00::|minus%5:00:00:disadvantageous:00|minus%1:04:00::	介词义据词形和开放语义证据独立概括
misunderstand	verb=误解；误会	misunderstand%2:31:01::	
mm	noun=毫米	mm%1:23:00::	
