phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
prime minister,prime minister,2,cet4,true,n,prime_minister%1:18:00::|prime_minister%1:18:01::,true,35,evidence_ready_review,55.699,false
social media,social media,2,cet4,true,n,social_media%1:10:01::,false,34,evidence_ready_review,51.293,false
at first,at first,2,cet4,true,r,at_first%4:02:01::,false,21,evidence_ready_review,49.594,false
carbon dioxide,carbon dioxide,2,cet4,true,n,carbon_dioxide%1:27:00::,true,19,evidence_ready_review,47.219,false
rid of,rid of,2,cet4,true,v,rid_of%2:42:00::,false,12,evidence_ready_review,47.004,false
for one,for one,2,cet4,true,r,for_one%4:02:00::,false,16,evidence_ready_review,45.875,false
be given,be given,2,cet4,true,v,be_given%2:42:00::,false,11,evidence_ready_review,45.85,false
supreme court,supreme court,2,cet4,true,n,supreme_court%1:14:01::,false,22,evidence_ready_review,45.236,false
one time,one time,2,cet4,true,a|r,one-time%5:00:00:past:00|one_time%4:02:00::,true,11,evidence_ready_review,44.85,false
disagree with,disagree with,2,cet4,true,v,disagree_with%2:29:00::,false,9,evidence_ready_review,43.219,false
one step,one step,2,cet4,true,n|v,one-step%1:04:00::|one-step%2:38:00::,true,6,evidence_ready_review,42.074,false
get rid of,get rid of,3,cet4,true,v,get_rid_of%2:30:00::|get_rid_of%2:40:01::|get_rid_of%2:41:00::,false,8,evidence_ready_review,41.699,false
immune system,immune system,2,cet4,true,n,immune_system%1:08:00::,false,17,evidence_ready_review,41.699,false
one hundred,one hundred,2,cet4,true,a,one_hundred%5:00:00:cardinal:00,false,17,evidence_ready_review,41.699,false
one another,one another,2,cet4,false,,,true,12,moby_corpus_review,41.004,false
self improvement,self improvement,2,cet4,true,n,self-improvement%1:04:00::,true,11,evidence_ready_review,39.85,false
economic growth,economic growth,2,cet4,true,n,economic_growth%1:22:00::,false,14,evidence_ready_review,39.069,false
one way,one way,2,cet4,true,a,one-way%5:00:00:unidirectional:00,true,10,evidence_ready_review,38.594,false
in vain,in vain,2,cet4,true,r,in_vain%4:02:00::,false,9,evidence_ready_review,38.219,false
magnetic field,magnetic field,2,cet4,true,n,magnetic_field%1:19:00::,true,9,evidence_ready_review,37.219,false
high tech,high tech,2,cet4,true,a|n,high-tech%3:00:00::|high_tech%1:04:00::,false,12,evidence_ready_review,37.004,false
middle aged,middle aged,2,cet4,true,a,middle-aged%5:00:00:old:02,true,8,evidence_ready_review,35.699,false
self determination,self determination,2,cet4,true,n,self-determination%1:07:00::|self-determination%1:26:00::,true,8,evidence_ready_review,35.699,false
